Timestamp,CPU_%,Mem_Usage,Mem_Limit,Mem_%,Net_Input,Net_Output,Block_Input,Block_Output,PIDs
2025-06-27T14:09:45Z,8.31%,8.16MiB,31.29GiB,0.03%,374kB,490kB,0B,0B,1
2025-06-27T14:09:58Z,2.10%,8.652MiB,31.29GiB,0.03%,501kB,728kB,0B,24.6kB,1
2025-06-27T14:10:11Z,1.90%,8.41MiB,31.29GiB,0.03%,502kB,837kB,0B,28.7kB,1
2025-06-27T14:10:23Z,4.69%,8.402MiB,31.29GiB,0.03%,502kB,943kB,0B,36.9kB,1
2025-06-27T14:10:35Z,1.93%,8.402MiB,31.29GiB,0.03%,503kB,1.05MB,0B,36.9kB,1
2025-06-27T14:10:48Z,1.92%,8.402MiB,31.29GiB,0.03%,503kB,1.16MB,0B,41kB,1
2025-06-27T14:11:01Z,2.43%,9.344MiB,31.29GiB,0.03%,768kB,1.52MB,0B,49.2kB,1
2025-06-27T14:11:13Z,2.49%,9.289MiB,31.29GiB,0.03%,998kB,1.85MB,0B,53.2kB,1
2025-06-27T14:11:25Z,2.79%,9.297MiB,31.29GiB,0.03%,1MB,1.96MB,0B,53.2kB,1
2025-06-27T14:11:38Z,1.76%,9.547MiB,31.29GiB,0.03%,1MB,2.07MB,0B,61.4kB,1
2025-06-27T14:11:51Z,2.29%,9.297MiB,31.29GiB,0.03%,1MB,2.18MB,0B,65.5kB,1
2025-06-27T14:12:03Z,2.26%,9.301MiB,31.29GiB,0.03%,1MB,2.28MB,0B,69.6kB,1
2025-06-27T14:12:15Z,4.00%,10.71MiB,31.29GiB,0.03%,1.39MB,2.79MB,0B,98.3kB,1
2025-06-27T14:12:28Z,3.35%,10.29MiB,31.29GiB,0.03%,1.54MB,3.09MB,0B,98.3kB,1
2025-06-27T14:12:41Z,6.13%,10.3MiB,31.29GiB,0.03%,1.56MB,3.21MB,0B,119kB,1
2025-06-27T14:12:54Z,3.61%,10.32MiB,31.29GiB,0.03%,1.57MB,3.33MB,0B,127kB,1
2025-06-27T14:13:08Z,3.12%,10.32MiB,31.29GiB,0.03%,1.57MB,3.45MB,0B,139kB,1
2025-06-27T14:13:21Z,1.88%,10.33MiB,31.29GiB,0.03%,1.57MB,3.55MB,0B,160kB,1
2025-06-27T14:13:33Z,3.31%,10.95MiB,31.29GiB,0.03%,1.92MB,4.02MB,0B,168kB,1
2025-06-27T14:13:45Z,4.63%,10.99MiB,31.29GiB,0.03%,1.96MB,4.15MB,0B,172kB,1
2025-06-27T14:13:58Z,2.15%,11MiB,31.29GiB,0.03%,1.97MB,4.26MB,0B,176kB,1
2025-06-27T14:14:11Z,3.55%,11MiB,31.29GiB,0.03%,1.97MB,4.37MB,0B,176kB,1
2025-06-27T14:14:23Z,1.69%,11MiB,31.29GiB,0.03%,1.97MB,4.48MB,0B,184kB,1
2025-06-27T14:14:35Z,2.01%,11MiB,31.29GiB,0.03%,1.97MB,4.59MB,0B,188kB,1
2025-06-27T14:14:48Z,2.86%,11.32MiB,31.29GiB,0.04%,2.17MB,4.87MB,0B,197kB,1
2025-06-27T14:15:01Z,2.01%,11.47MiB,31.29GiB,0.04%,2.25MB,5.06MB,0B,201kB,1
2025-06-27T14:15:13Z,2.87%,11.73MiB,31.29GiB,0.04%,2.26MB,5.18MB,0B,201kB,1
2025-06-27T14:15:26Z,2.42%,11.5MiB,31.29GiB,0.04%,2.27MB,5.29MB,0B,209kB,1
2025-06-27T14:15:38Z,3.87%,11.5MiB,31.29GiB,0.04%,2.27MB,5.4MB,0B,229kB,1
2025-06-27T14:15:52Z,3.78%,11.5MiB,31.29GiB,0.04%,2.27MB,5.52MB,0B,262kB,1
2025-06-27T14:16:05Z,2.51%,7.18MiB,31.29GiB,0.02%,2.39MB,5.77MB,0B,262kB,1
2025-06-27T14:16:18Z,1.91%,7.457MiB,31.29GiB,0.02%,2.41MB,5.91MB,0B,262kB,1
2025-06-27T14:16:31Z,1.85%,7.207MiB,31.29GiB,0.02%,2.41MB,6.02MB,0B,610kB,1
2025-06-27T14:16:43Z,3.20%,7.207MiB,31.29GiB,0.02%,2.41MB,6.13MB,0B,668kB,1
2025-06-27T14:16:55Z,1.97%,7.215MiB,31.29GiB,0.02%,2.42MB,6.24MB,0B,680kB,1
2025-06-27T14:17:08Z,3.77%,7.207MiB,31.29GiB,0.02%,2.42MB,6.35MB,0B,705kB,1
2025-06-27T14:17:21Z,3.04%,8.953MiB,31.29GiB,0.03%,2.58MB,6.63MB,0B,721kB,1
