Timestamp,CPU_%,Mem_Usage,Mem_Limit,Mem_%,Net_Input,Net_Output,Block_Input,Block_Output,PIDs
2025-06-27T12:54:17Z,6.17%,31.59MiB,31.29GiB,0.10%,390kB,465kB,4.49MB,0B,1
2025-06-27T12:54:29Z,0.20%,31.36MiB,31.29GiB,0.10%,430kB,540kB,4.49MB,12.3kB,1
2025-06-27T12:54:42Z,0.27%,31.36MiB,31.29GiB,0.10%,430kB,550kB,4.49MB,12.3kB,1
2025-06-27T12:54:54Z,0.17%,31.36MiB,31.29GiB,0.10%,430kB,562kB,4.49MB,20.5kB,1
2025-06-27T12:55:07Z,0.39%,31.36MiB,31.29GiB,0.10%,430kB,574kB,4.49MB,24.6kB,1
2025-06-27T12:55:19Z,0.15%,31.36MiB,31.29GiB,0.10%,430kB,584kB,4.49MB,28.7kB,1
2025-06-27T12:55:32Z,6.98%,33.23MiB,31.29GiB,0.10%,576kB,729kB,4.49MB,28.7kB,1
2025-06-27T12:55:44Z,0.14%,34.09MiB,31.29GiB,0.11%,765kB,974kB,4.49MB,32.8kB,1
2025-06-27T12:55:57Z,0.29%,34.09MiB,31.29GiB,0.11%,765kB,984kB,4.49MB,45.1kB,1
2025-06-27T12:56:09Z,0.31%,34.09MiB,31.29GiB,0.11%,765kB,994kB,4.49MB,49.2kB,1
2025-06-27T12:56:22Z,0.20%,34.09MiB,31.29GiB,0.11%,765kB,1MB,4.49MB,53.2kB,1
2025-06-27T12:56:34Z,0.27%,34.09MiB,31.29GiB,0.11%,765kB,1.01MB,4.49MB,53.2kB,1
2025-06-27T12:56:47Z,4.48%,35.73MiB,31.29GiB,0.11%,813kB,1.07MB,4.49MB,61.4kB,1
2025-06-27T12:56:59Z,0.26%,35.21MiB,31.29GiB,0.11%,1.14MB,1.44MB,4.49MB,65.5kB,1
2025-06-27T12:57:12Z,0.22%,35.21MiB,31.29GiB,0.11%,1.14MB,1.45MB,4.49MB,69.6kB,1
2025-06-27T12:57:24Z,0.24%,37.38MiB,31.29GiB,0.12%,1.14MB,1.47MB,4.49MB,69.6kB,1
2025-06-27T12:57:37Z,0.29%,37.38MiB,31.29GiB,0.12%,1.14MB,1.48MB,4.49MB,73.7kB,1
2025-06-27T12:57:49Z,0.27%,37.38MiB,31.29GiB,0.12%,1.14MB,1.48MB,4.49MB,81.9kB,1
2025-06-27T12:58:02Z,4.91%,38.01MiB,31.29GiB,0.12%,1.22MB,1.58MB,4.49MB,86kB,1
2025-06-27T12:58:14Z,2.16%,37.99MiB,31.29GiB,0.12%,1.48MB,1.89MB,4.49MB,94.2kB,1
2025-06-27T12:58:27Z,0.40%,37.99MiB,31.29GiB,0.12%,1.48MB,1.91MB,4.49MB,94.2kB,1
2025-06-27T12:58:39Z,0.37%,37.99MiB,31.29GiB,0.12%,1.48MB,1.92MB,4.49MB,102kB,1
2025-06-27T12:58:52Z,0.31%,38.01MiB,31.29GiB,0.12%,1.49MB,1.96MB,4.49MB,106kB,1
2025-06-27T12:59:04Z,0.38%,38.01MiB,31.29GiB,0.12%,1.49MB,1.97MB,4.49MB,115kB,1
2025-06-27T12:59:17Z,2.53%,38.29MiB,31.29GiB,0.12%,1.52MB,2.01MB,4.49MB,115kB,1
2025-06-27T12:59:29Z,0.79%,38.52MiB,31.29GiB,0.12%,1.8MB,2.35MB,4.49MB,119kB,1
2025-06-27T12:59:42Z,0.22%,38.54MiB,31.29GiB,0.12%,1.81MB,2.38MB,4.49MB,123kB,1
2025-06-27T12:59:54Z,0.38%,38.55MiB,31.29GiB,0.12%,1.81MB,2.39MB,4.49MB,131kB,1
2025-06-27T13:00:07Z,0.33%,38.56MiB,31.29GiB,0.12%,1.82MB,2.42MB,4.49MB,135kB,1
2025-06-27T13:00:19Z,0.16%,38.56MiB,31.29GiB,0.12%,1.82MB,2.43MB,4.49MB,135kB,1
2025-06-27T13:00:32Z,5.24%,38.88MiB,31.29GiB,0.12%,1.87MB,2.49MB,4.49MB,143kB,1
2025-06-27T13:00:44Z,1.33%,39.1MiB,31.29GiB,0.12%,2.13MB,2.8MB,4.49MB,147kB,1
2025-06-27T13:00:57Z,0.19%,39.1MiB,31.29GiB,0.12%,2.13MB,2.82MB,4.49MB,156kB,1
2025-06-27T13:01:09Z,0.22%,39.1MiB,31.29GiB,0.12%,2.14MB,2.83MB,4.49MB,160kB,1
2025-06-27T13:01:22Z,0.35%,39.12MiB,31.29GiB,0.12%,2.15MB,2.86MB,4.49MB,160kB,1
2025-06-27T13:01:34Z,0.34%,39.12MiB,31.29GiB,0.12%,2.15MB,2.87MB,4.49MB,164kB,1
2025-06-27T13:01:47Z,4.56%,39.45MiB,31.29GiB,0.12%,2.2MB,2.94MB,4.49MB,172kB,1
2025-06-27T13:01:59Z,0.94%,39.61MiB,31.29GiB,0.12%,2.45MB,3.22MB,4.49MB,176kB,1
2025-06-27T13:02:12Z,0.15%,39.61MiB,31.29GiB,0.12%,2.45MB,3.24MB,4.49MB,176kB,1
2025-06-27T13:02:24Z,0.99%,39.89MiB,31.29GiB,0.12%,2.47MB,3.28MB,4.49MB,184kB,1
2025-06-27T13:02:37Z,0.63%,39.69MiB,31.29GiB,0.12%,2.49MB,3.34MB,4.49MB,188kB,1
2025-06-27T13:02:49Z,0.10%,39.69MiB,31.29GiB,0.12%,2.49MB,3.35MB,4.49MB,197kB,1
2025-06-27T13:03:02Z,4.22%,40.01MiB,31.29GiB,0.12%,2.53MB,3.41MB,4.49MB,201kB,1
2025-06-27T13:03:14Z,0.85%,40.26MiB,31.29GiB,0.13%,2.82MB,3.74MB,4.49MB,201kB,1
