Timestamp,CPU_%,Mem_Usage,Mem_Limit,Mem_%,Net_Input,Net_Output,Block_Input,Block_Output,PIDs
2025-06-27T14:30:06Z,2.03%,7.492MiB,31.29GiB,0.02%,474B,11.6kB,135kB,0B,1
2025-06-27T14:30:18Z,1.95%,7.434MiB,31.29GiB,0.02%,14kB,149kB,135kB,0B,1
2025-06-27T14:30:31Z,1.99%,7.793MiB,31.29GiB,0.02%,192kB,452kB,135kB,20.5kB,1
2025-06-27T14:30:43Z,2.88%,7.805MiB,31.29GiB,0.02%,201kB,557kB,135kB,32.8kB,1
2025-06-27T14:30:56Z,1.78%,7.805MiB,31.29GiB,0.02%,201kB,671kB,135kB,41kB,1
2025-06-27T14:31:08Z,1.61%,7.805MiB,31.29GiB,0.02%,201kB,781kB,135kB,49.2kB,1
2025-06-27T14:31:21Z,2.46%,7.809MiB,31.29GiB,0.02%,201kB,891kB,135kB,49.2kB,1
2025-06-27T14:31:33Z,2.15%,8.078MiB,31.29GiB,0.03%,215kB,1.01MB,135kB,57.3kB,1
2025-06-27T14:31:46Z,1.93%,8.117MiB,31.29GiB,0.03%,376kB,1.3MB,135kB,65.5kB,1
2025-06-27T14:31:58Z,1.79%,8.379MiB,31.29GiB,0.03%,391kB,1.42MB,135kB,73.7kB,1
2025-06-27T14:32:11Z,1.74%,8.383MiB,31.29GiB,0.03%,391kB,1.53MB,135kB,73.7kB,1
2025-06-27T14:32:23Z,3.74%,8.629MiB,31.29GiB,0.03%,391kB,1.64MB,135kB,77.8kB,1
2025-06-27T14:32:36Z,2.02%,8.137MiB,31.29GiB,0.03%,391kB,1.74MB,135kB,81.9kB,1
2025-06-27T14:32:48Z,2.01%,8.145MiB,31.29GiB,0.03%,401kB,1.86MB,135kB,90.1kB,1
2025-06-27T14:33:01Z,1.85%,8.504MiB,31.29GiB,0.03%,599kB,2.17MB,135kB,94.2kB,1
2025-06-27T14:33:13Z,2.41%,8.512MiB,31.29GiB,0.03%,611kB,2.29MB,135kB,94.2kB,1
2025-06-27T14:33:26Z,2.26%,8.516MiB,31.29GiB,0.03%,611kB,2.39MB,135kB,102kB,1
2025-06-27T14:33:38Z,2.73%,8.512MiB,31.29GiB,0.03%,611kB,2.49MB,135kB,119kB,1
2025-06-27T14:33:52Z,4.71%,8.512MiB,31.29GiB,0.03%,611kB,2.61MB,135kB,127kB,1
2025-06-27T14:34:05Z,2.79%,8.531MiB,31.29GiB,0.03%,624kB,2.74MB,135kB,152kB,1
2025-06-27T14:34:17Z,2.28%,9.109MiB,31.29GiB,0.03%,810kB,3.03MB,135kB,176kB,1
2025-06-27T14:34:30Z,3.23%,8.891MiB,31.29GiB,0.03%,829kB,3.15MB,135kB,188kB,1
2025-06-27T14:34:44Z,3.11%,9.137MiB,31.29GiB,0.03%,829kB,3.27MB,135kB,209kB,1
2025-06-27T14:34:57Z,2.10%,9.137MiB,31.29GiB,0.03%,830kB,3.38MB,135kB,233kB,1
2025-06-27T14:35:10Z,2.28%,8.902MiB,31.29GiB,0.03%,836kB,3.5MB,135kB,233kB,1
2025-06-27T14:35:22Z,3.04%,9.035MiB,31.29GiB,0.03%,913kB,3.69MB,135kB,242kB,1
