Timestamp,CPU_%,Mem_Usage,Mem_Limit,Mem_%,Net_Input,Net_Output,Block_Input,Block_Output,PIDs
2025-06-27T14:13:45Z,2.84%,7.387MiB,31.29GiB,0.02%,9.39kB,36.2kB,0B,0B,1
2025-06-27T14:13:58Z,2.31%,7.406MiB,31.29GiB,0.02%,16.3kB,161kB,0B,20.5kB,1
2025-06-27T14:14:11Z,8.18%,7.406MiB,31.29GiB,0.02%,17.4kB,272kB,0B,20.5kB,1
2025-06-27T14:14:23Z,1.63%,7.406MiB,31.29GiB,0.02%,17.5kB,377kB,0B,32.8kB,1
2025-06-27T14:14:35Z,2.16%,7.406MiB,31.29GiB,0.02%,17.5kB,487kB,0B,45.1kB,1
2025-06-27T14:14:48Z,2.30%,7.77MiB,31.29GiB,0.02%,195kB,831kB,0B,57.3kB,1
2025-06-27T14:15:01Z,2.24%,7.875MiB,31.29GiB,0.02%,251kB,997kB,0B,65.5kB,1
2025-06-27T14:15:13Z,2.69%,7.895MiB,31.29GiB,0.02%,263kB,1.11MB,0B,65.5kB,1
2025-06-27T14:15:26Z,2.27%,7.914MiB,31.29GiB,0.02%,273kB,1.23MB,0B,77.8kB,1
2025-06-27T14:15:38Z,3.97%,7.91MiB,31.29GiB,0.02%,274kB,1.34MB,0B,98.3kB,1
2025-06-27T14:15:52Z,3.60%,7.914MiB,31.29GiB,0.02%,276kB,1.46MB,0B,123kB,1
2025-06-27T14:16:05Z,2.23%,8.203MiB,31.29GiB,0.03%,440kB,1.73MB,0B,123kB,1
2025-06-27T14:16:18Z,1.67%,8.469MiB,31.29GiB,0.03%,454kB,1.85MB,0B,127kB,1
2025-06-27T14:16:31Z,1.74%,8.234MiB,31.29GiB,0.03%,457kB,1.96MB,0B,135kB,1
2025-06-27T14:16:43Z,2.29%,8.223MiB,31.29GiB,0.03%,459kB,2.07MB,0B,147kB,1
2025-06-27T14:16:55Z,2.24%,8.238MiB,31.29GiB,0.03%,459kB,2.18MB,0B,160kB,1
2025-06-27T14:17:08Z,4.78%,8.227MiB,31.29GiB,0.03%,463kB,2.29MB,0B,176kB,1
2025-06-27T14:17:21Z,4.21%,9.258MiB,31.29GiB,0.03%,619kB,2.57MB,0B,184kB,1
