Timestamp,CPU_%,Mem_Usage,Mem_Limit,Mem_%,Net_Input,Net_Output,Block_Input,Block_Output,PIDs
2025-06-27T14:48:20Z,9.33%,7.996MiB,31.29GiB,0.02%,45.5kB,109kB,0B,0B,1
2025-06-27T14:48:34Z,2.49%,7.871MiB,31.29GiB,0.02%,98.9kB,316kB,0B,0B,1
2025-06-27T14:48:46Z,4.25%,7.617MiB,31.29GiB,0.02%,99kB,426kB,0B,45.1kB,1
2025-06-27T14:49:01Z,2.39%,7.617MiB,31.29GiB,0.02%,99.6kB,549kB,0B,69.6kB,1
2025-06-27T14:49:13Z,3.19%,7.863MiB,31.29GiB,0.02%,99.6kB,653kB,0B,69.6kB,1
2025-06-27T14:49:25Z,2.74%,7.617MiB,31.29GiB,0.02%,99.6kB,764kB,0B,81.9kB,1
2025-06-27T14:49:38Z,2.52%,8.027MiB,31.29GiB,0.03%,354kB,1.1MB,0B,106kB,1
2025-06-27T14:49:51Z,3.07%,8.211MiB,31.29GiB,0.03%,450kB,1.32MB,0B,123kB,1
2025-06-27T14:50:03Z,1.94%,8.215MiB,31.29GiB,0.03%,450kB,1.42MB,0B,135kB,1
2025-06-27T14:50:15Z,2.16%,8.707MiB,31.29GiB,0.03%,450kB,1.53MB,0B,147kB,1
