Timestamp,CPU_%,Mem_Usage,Mem_Limit,Mem_%,Net_Input,Net_Output,Block_Input,Block_Output,PIDs
2025-06-27T14:41:13Z,2.22%,7.402MiB,31.29GiB,0.02%,956B,55.6kB,0B,0B,1
2025-06-27T14:41:26Z,2.11%,7.406MiB,31.29GiB,0.02%,956B,166kB,0B,20.5kB,1
2025-06-27T14:41:38Z,3.70%,7.543MiB,31.29GiB,0.02%,66.2kB,371kB,0B,32.8kB,1
2025-06-27T14:41:50Z,2.48%,7.73MiB,31.29GiB,0.02%,164kB,596kB,0B,32.8kB,1
2025-06-27T14:42:03Z,2.43%,7.734MiB,31.29GiB,0.02%,166kB,706kB,0B,81.9kB,1
2025-06-27T14:42:16Z,4.22%,7.984MiB,31.29GiB,0.02%,169kB,819kB,0B,86kB,1
2025-06-27T14:42:28Z,1.83%,7.742MiB,31.29GiB,0.02%,169kB,924kB,0B,98.3kB,1
2025-06-27T14:42:40Z,1.81%,7.984MiB,31.29GiB,0.02%,169kB,1.03MB,0B,106kB,1
2025-06-27T14:42:53Z,3.66%,7.855MiB,31.29GiB,0.02%,241kB,1.22MB,0B,119kB,1
2025-06-27T14:43:06Z,2.55%,8.008MiB,31.29GiB,0.02%,327kB,1.44MB,0B,119kB,1
2025-06-27T14:43:18Z,2.38%,8.539MiB,31.29GiB,0.03%,345kB,1.56MB,0B,127kB,1
2025-06-27T14:43:30Z,2.08%,8.34MiB,31.29GiB,0.03%,369kB,1.69MB,0B,135kB,1
2025-06-27T14:43:43Z,1.96%,8.09MiB,31.29GiB,0.03%,369kB,1.81MB,0B,143kB,1
2025-06-27T14:43:56Z,3.04%,8.09MiB,31.29GiB,0.03%,369kB,1.92MB,0B,143kB,1
2025-06-27T14:44:08Z,3.48%,8.215MiB,31.29GiB,0.03%,443kB,2.1MB,0B,152kB,1
2025-06-27T14:44:20Z,1.81%,8.328MiB,31.29GiB,0.03%,502kB,2.26MB,0B,160kB,1
2025-06-27T14:44:33Z,1.70%,8.328MiB,31.29GiB,0.03%,506kB,2.38MB,0B,168kB,1
2025-06-27T14:44:46Z,2.82%,8.328MiB,31.29GiB,0.03%,508kB,2.49MB,0B,180kB,1
2025-06-27T14:44:58Z,1.97%,8.336MiB,31.29GiB,0.03%,508kB,2.59MB,0B,180kB,1
2025-06-27T14:45:10Z,1.72%,8.328MiB,31.29GiB,0.03%,508kB,2.7MB,0B,193kB,1
2025-06-27T14:45:23Z,3.42%,8.934MiB,31.29GiB,0.03%,576kB,2.88MB,0B,193kB,1
2025-06-27T14:45:36Z,1.87%,8.785MiB,31.29GiB,0.03%,628kB,3.04MB,0B,201kB,1
2025-06-27T14:45:48Z,2.90%,8.551MiB,31.29GiB,0.03%,639kB,3.15MB,0B,201kB,1
2025-06-27T14:46:00Z,2.66%,8.555MiB,31.29GiB,0.03%,639kB,3.26MB,0B,225kB,1
2025-06-27T14:46:13Z,2.37%,8.555MiB,31.29GiB,0.03%,640kB,3.37MB,0B,254kB,1
2025-06-27T14:46:26Z,2.58%,8.555MiB,31.29GiB,0.03%,640kB,3.48MB,0B,295kB,1
2025-06-27T14:46:38Z,4.75%,9.203MiB,31.29GiB,0.03%,718kB,3.68MB,0B,319kB,1
2025-06-27T14:46:50Z,4.15%,8.816MiB,31.29GiB,0.03%,787kB,3.86MB,0B,348kB,1
2025-06-27T14:47:04Z,2.13%,9.125MiB,31.29GiB,0.03%,814kB,3.99MB,0B,348kB,1
2025-06-27T14:47:17Z,2.07%,9.375MiB,31.29GiB,0.03%,817kB,4.1MB,0B,356kB,1
