Timestamp,CPU_%,Mem_Usage,Mem_Limit,Mem_%,Net_Input,Net_Output,Block_Input,Block_Output,PIDs
2025-06-27T14:19:52Z,3.52%,7.754MiB,31.29GiB,0.02%,73.1kB,107kB,0B,0B,1
2025-06-27T14:20:04Z,2.06%,7.543MiB,31.29GiB,0.02%,93.5kB,234kB,0B,28.7kB,1
2025-06-27T14:20:17Z,1.69%,7.543MiB,31.29GiB,0.02%,95.3kB,347kB,0B,36.9kB,1
2025-06-27T14:20:30Z,1.99%,7.547MiB,31.29GiB,0.02%,95.3kB,457kB,0B,45.1kB,1
2025-06-27T14:20:42Z,2.41%,7.543MiB,31.29GiB,0.02%,95.4kB,559kB,0B,53.2kB,1
2025-06-27T14:20:54Z,1.74%,7.543MiB,31.29GiB,0.02%,95.6kB,670kB,0B,65.5kB,1
2025-06-27T14:21:07Z,2.67%,7.625MiB,31.29GiB,0.02%,146kB,830kB,0B,81.9kB,1
2025-06-27T14:21:19Z,4.84%,7.758MiB,31.29GiB,0.02%,218kB,1.04MB,0B,94.2kB,1
2025-06-27T14:21:32Z,2.28%,7.758MiB,31.29GiB,0.02%,219kB,1.14MB,0B,135kB,1
2025-06-27T14:21:44Z,1.89%,7.773MiB,31.29GiB,0.02%,227kB,1.26MB,0B,135kB,1
2025-06-27T14:21:57Z,1.75%,7.777MiB,31.29GiB,0.02%,227kB,1.37MB,0B,147kB,1
2025-06-27T14:22:09Z,1.62%,7.77MiB,31.29GiB,0.02%,227kB,1.48MB,0B,160kB,1
2025-06-27T14:22:22Z,6.12%,7.898MiB,31.29GiB,0.02%,293kB,1.67MB,0B,172kB,1
2025-06-27T14:22:34Z,2.99%,7.957MiB,31.29GiB,0.02%,328kB,1.84MB,0B,213kB,1
2025-06-27T14:22:48Z,2.74%,7.961MiB,31.29GiB,0.02%,331kB,1.95MB,0B,242kB,1
2025-06-27T14:23:00Z,1.89%,7.988MiB,31.29GiB,0.02%,344kB,2.08MB,0B,254kB,1
2025-06-27T14:23:13Z,1.99%,8.234MiB,31.29GiB,0.03%,344kB,2.18MB,0B,270kB,1
2025-06-27T14:23:25Z,2.29%,7.984MiB,31.29GiB,0.02%,344kB,2.29MB,0B,283kB,1
