Timestamp,CPU_%,Mem_Usage,Mem_Limit,Mem_%,Net_Input,Net_Output,Block_Input,Block_Output,PIDs
2025-06-27T14:25:30Z,1.88%,7.492MiB,31.29GiB,0.02%,34.4kB,174kB,0B,0B,1
2025-06-27T14:25:42Z,2.28%,7.988MiB,31.29GiB,0.02%,34.4kB,284kB,0B,20.5kB,1
2025-06-27T14:25:55Z,2.50%,7.492MiB,31.29GiB,0.02%,34.4kB,394kB,0B,24.6kB,1
2025-06-27T14:26:08Z,2.62%,7.988MiB,31.29GiB,0.02%,34.4kB,499kB,0B,32.8kB,1
2025-06-27T14:26:20Z,2.22%,7.492MiB,31.29GiB,0.02%,34.5kB,610kB,0B,32.8kB,1
2025-06-27T14:26:32Z,2.44%,7.492MiB,31.29GiB,0.02%,34.5kB,720kB,0B,36.9kB,1
2025-06-27T14:26:45Z,4.30%,8.793MiB,31.29GiB,0.03%,609kB,1.43MB,0B,53.2kB,1
2025-06-27T14:26:58Z,1.92%,8.555MiB,31.29GiB,0.03%,610kB,1.54MB,0B,61.4kB,1
2025-06-27T14:27:10Z,2.08%,8.809MiB,31.29GiB,0.03%,610kB,1.65MB,0B,61.4kB,1
2025-06-27T14:27:22Z,2.18%,8.613MiB,31.29GiB,0.03%,651kB,1.79MB,0B,69.6kB,1
2025-06-27T14:27:35Z,2.57%,8.617MiB,31.29GiB,0.03%,651kB,1.9MB,0B,73.7kB,1
2025-06-27T14:27:48Z,2.64%,8.613MiB,31.29GiB,0.03%,652kB,2MB,0B,81.9kB,1
2025-06-27T14:28:00Z,2.64%,9.371MiB,31.29GiB,0.03%,1.07MB,2.56MB,0B,115kB,1
2025-06-27T14:28:13Z,1.94%,9.398MiB,31.29GiB,0.03%,1.09MB,2.69MB,0B,119kB,1
