Timestamp,CPU_%,Mem_Usage,Mem_Limit,Mem_%,Net_Input,Net_Output,Block_Input,Block_Output,PIDs
2025-06-27T14:18:35Z,5.27%,8.215MiB,31.29GiB,0.03%,70.8kB,102kB,0B,0B,1
2025-06-27T14:18:48Z,3.87%,8.059MiB,31.29GiB,0.03%,210kB,366kB,0B,24.6kB,1
2025-06-27T14:19:01Z,1.76%,7.812MiB,31.29GiB,0.02%,210kB,484kB,0B,41kB,1
2025-06-27T14:19:14Z,6.36%,7.812MiB,31.29GiB,0.02%,210kB,594kB,0B,49.2kB,1
2025-06-27T14:19:27Z,3.35%,7.812MiB,31.29GiB,0.02%,210kB,704kB,0B,49.2kB,1
2025-06-27T14:19:39Z,2.83%,7.816MiB,31.29GiB,0.02%,211kB,815kB,0B,65.5kB,1
2025-06-27T14:19:52Z,5.77%,8.023MiB,31.29GiB,0.03%,358kB,1.03MB,0B,73.7kB,1
2025-06-27T14:20:04Z,2.53%,8.336MiB,31.29GiB,0.03%,404kB,1.19MB,0B,90.1kB,1
2025-06-27T14:20:17Z,2.08%,8.102MiB,31.29GiB,0.03%,406kB,1.29MB,0B,102kB,1
2025-06-27T14:20:30Z,1.76%,8.098MiB,31.29GiB,0.03%,406kB,1.41MB,0B,111kB,1
2025-06-27T14:20:42Z,2.24%,8.094MiB,31.29GiB,0.03%,406kB,1.51MB,0B,111kB,1
2025-06-27T14:20:54Z,2.14%,8.344MiB,31.29GiB,0.03%,407kB,1.62MB,0B,119kB,1
2025-06-27T14:21:07Z,2.81%,8.16MiB,31.29GiB,0.03%,450kB,1.76MB,0B,131kB,1
2025-06-27T14:21:19Z,5.17%,8.344MiB,31.29GiB,0.03%,546kB,1.99MB,0B,135kB,1
2025-06-27T14:21:32Z,2.47%,8.344MiB,31.29GiB,0.03%,547kB,2.09MB,0B,160kB,1
2025-06-27T14:21:44Z,2.19%,8.344MiB,31.29GiB,0.03%,550kB,2.2MB,0B,160kB,1
2025-06-27T14:21:57Z,1.59%,8.344MiB,31.29GiB,0.03%,550kB,2.31MB,0B,168kB,1
2025-06-27T14:22:09Z,1.70%,8.348MiB,31.29GiB,0.03%,550kB,2.42MB,0B,172kB,1
2025-06-27T14:22:22Z,5.08%,8.441MiB,31.29GiB,0.03%,603kB,2.59MB,0B,180kB,1
2025-06-27T14:22:34Z,3.53%,8.535MiB,31.29GiB,0.03%,651kB,2.77MB,0B,213kB,1
2025-06-27T14:22:48Z,2.17%,8.535MiB,31.29GiB,0.03%,655kB,2.89MB,0B,238kB,1
2025-06-27T14:23:00Z,1.92%,8.559MiB,31.29GiB,0.03%,666kB,3MB,0B,246kB,1
2025-06-27T14:23:13Z,1.96%,8.559MiB,31.29GiB,0.03%,666kB,3.11MB,0B,254kB,1
2025-06-27T14:23:25Z,2.29%,8.559MiB,31.29GiB,0.03%,666kB,3.22MB,0B,258kB,1
