Timestamp,CPU_%,Mem_Usage,Mem_Limit,Mem_%,Net_Input,Net_Output,Block_Input,Block_Output,PIDs
2025-06-27T11:47:56Z,0.00%,220.1MiB,31.29GiB,0.69%,12.9kB,8.2kB,258kB,586kB,14
2025-06-27T11:48:08Z,0.05%,220.1MiB,31.29GiB,0.69%,12.9kB,8.2kB,258kB,655kB,14
2025-06-27T11:48:21Z,0.05%,220.1MiB,31.29GiB,0.69%,12.9kB,8.2kB,258kB,659kB,14
2025-06-27T11:48:33Z,0.06%,220.1MiB,31.29GiB,0.69%,12.9kB,8.2kB,258kB,664kB,14
2025-06-27T11:48:45Z,0.00%,220.1MiB,31.29GiB,0.69%,13kB,8.2kB,258kB,668kB,14
2025-06-27T11:48:57Z,0.01%,220.2MiB,31.29GiB,0.69%,13kB,8.2kB,262kB,737kB,14
2025-06-27T11:49:10Z,0.03%,220.2MiB,31.29GiB,0.69%,13kB,8.2kB,262kB,737kB,14
2025-06-27T11:49:23Z,0.03%,220.2MiB,31.29GiB,0.69%,13kB,8.2kB,262kB,741kB,14
2025-06-27T11:49:35Z,0.00%,220.2MiB,31.29GiB,0.69%,13kB,8.2kB,262kB,745kB,14
2025-06-27T11:49:47Z,0.15%,220.2MiB,31.29GiB,0.69%,13kB,8.2kB,262kB,750kB,14
2025-06-27T11:50:00Z,24.54%,220.1MiB,31.29GiB,0.69%,13kB,8.2kB,262kB,819kB,14
2025-06-27T11:50:12Z,0.36%,220.1MiB,31.29GiB,0.69%,13kB,8.2kB,262kB,823kB,14
2025-06-27T11:50:25Z,0.00%,220.1MiB,31.29GiB,0.69%,13kB,8.2kB,262kB,823kB,14
2025-06-27T11:50:37Z,0.00%,220.1MiB,31.29GiB,0.69%,13kB,8.2kB,262kB,827kB,14
2025-06-27T11:50:50Z,0.00%,220.1MiB,31.29GiB,0.69%,13kB,8.2kB,262kB,831kB,14
2025-06-27T11:51:02Z,0.05%,220.1MiB,31.29GiB,0.69%,13kB,8.2kB,262kB,901kB,14
2025-06-27T11:51:15Z,0.05%,220.1MiB,31.29GiB,0.69%,13kB,8.2kB,262kB,905kB,14
2025-06-27T11:51:27Z,0.02%,220.1MiB,31.29GiB,0.69%,13kB,8.2kB,262kB,909kB,14
2025-06-27T11:51:40Z,0.04%,220.1MiB,31.29GiB,0.69%,13kB,8.2kB,262kB,909kB,14
2025-06-27T11:51:52Z,0.04%,220.1MiB,31.29GiB,0.69%,13kB,8.2kB,262kB,913kB,14
2025-06-27T11:52:05Z,0.00%,220.2MiB,31.29GiB,0.69%,13kB,8.2kB,295kB,983kB,14
2025-06-27T11:52:17Z,0.00%,220.2MiB,31.29GiB,0.69%,13kB,8.2kB,295kB,987kB,14
2025-06-27T11:52:30Z,0.04%,220.2MiB,31.29GiB,0.69%,13kB,8.2kB,295kB,991kB,14
2025-06-27T11:52:43Z,0.07%,220.2MiB,31.29GiB,0.69%,13.6kB,8.48kB,295kB,995kB,14
2025-06-27T11:52:55Z,0.00%,220.3MiB,31.29GiB,0.69%,13.7kB,8.56kB,295kB,995kB,14
2025-06-27T11:53:07Z,0.00%,220.4MiB,31.29GiB,0.69%,13.7kB,8.56kB,295kB,1.06MB,14
2025-06-27T11:53:20Z,0.06%,220.4MiB,31.29GiB,0.69%,13.7kB,8.56kB,295kB,1.07MB,14
2025-06-27T11:53:33Z,0.05%,220.5MiB,31.29GiB,0.69%,13.7kB,8.56kB,295kB,1.07MB,14
