Timestamp,CPU_%,Mem_Usage,Mem_Limit,Mem_%,Net_Input,Net_Output,Block_Input,Block_Output,PIDs
2025-06-27T11:47:56Z,0.45%,117.2MiB,31.29GiB,0.37%,1.23MB,5.54MB,901kB,1.79MB,79
2025-06-27T11:48:08Z,0.44%,117.2MiB,31.29GiB,0.37%,1.23MB,5.54MB,901kB,1.83MB,79
2025-06-27T11:48:21Z,0.42%,117.2MiB,31.29GiB,0.37%,1.31MB,5.91MB,901kB,1.87MB,79
2025-06-27T11:48:33Z,0.48%,117.5MiB,31.29GiB,0.37%,1.39MB,6.27MB,901kB,1.9MB,79
2025-06-27T11:48:45Z,0.53%,120.2MiB,31.29GiB,0.38%,1.85MB,7.73MB,901kB,1.99MB,93
2025-06-27T11:48:57Z,0.73%,122MiB,31.29GiB,0.38%,1.95MB,8.13MB,913kB,2.06MB,93
2025-06-27T11:49:10Z,0.72%,122MiB,31.29GiB,0.38%,1.96MB,8.15MB,913kB,2.13MB,93
2025-06-27T11:49:23Z,1.43%,124MiB,31.29GiB,0.39%,1.97MB,8.18MB,913kB,2.2MB,93
2025-06-27T11:49:35Z,1.09%,128MiB,31.29GiB,0.40%,1.98MB,8.2MB,913kB,2.32MB,93
2025-06-27T11:49:47Z,0.40%,130MiB,31.29GiB,0.41%,2MB,8.23MB,913kB,2.39MB,93
2025-06-27T11:50:00Z,0.84%,132MiB,31.29GiB,0.41%,2.01MB,8.27MB,913kB,2.46MB,93
2025-06-27T11:50:12Z,0.62%,134MiB,31.29GiB,0.42%,2.03MB,8.3MB,913kB,2.54MB,93
2025-06-27T11:50:25Z,0.82%,136MiB,31.29GiB,0.42%,2.04MB,8.32MB,913kB,2.62MB,93
2025-06-27T11:50:37Z,0.71%,136MiB,31.29GiB,0.42%,2.05MB,8.35MB,913kB,2.67MB,93
2025-06-27T11:50:50Z,0.66%,138MiB,31.29GiB,0.43%,2.06MB,8.37MB,913kB,2.72MB,93
2025-06-27T11:51:02Z,0.49%,140MiB,31.29GiB,0.44%,2.08MB,8.4MB,913kB,2.8MB,93
2025-06-27T11:51:15Z,0.73%,142.5MiB,31.29GiB,0.44%,2.09MB,8.43MB,913kB,2.9MB,93
2025-06-27T11:51:27Z,0.71%,146MiB,31.29GiB,0.46%,2.1MB,8.46MB,913kB,2.95MB,93
2025-06-27T11:51:40Z,0.64%,146MiB,31.29GiB,0.46%,2.12MB,8.48MB,913kB,3.01MB,93
2025-06-27T11:51:52Z,1.61%,146MiB,31.29GiB,0.46%,2.13MB,8.51MB,913kB,3.07MB,93
2025-06-27T11:52:05Z,0.71%,146.3MiB,31.29GiB,0.46%,2.14MB,8.54MB,913kB,3.19MB,93
2025-06-27T11:52:17Z,0.69%,146MiB,31.29GiB,0.46%,2.15MB,8.57MB,913kB,3.26MB,93
2025-06-27T11:52:30Z,0.67%,146MiB,31.29GiB,0.46%,2.17MB,8.59MB,913kB,3.32MB,93
2025-06-27T11:52:43Z,0.71%,147.7MiB,31.29GiB,0.46%,2.18MB,8.62MB,913kB,3.38MB,93
