Timestamp,CPU_%,Mem_Usage,Mem_Limit,Mem_%,Net_Input,Net_Output,Block_Input,Block_Output,PIDs
2025-06-27T11:47:56Z,0.03%,1.176MiB,31.29GiB,0.00%,8.68kB,4.62kB,0B,0B,1
2025-06-27T11:48:08Z,0.04%,1.176MiB,31.29GiB,0.00%,9.43kB,5.04kB,0B,0B,1
2025-06-27T11:48:21Z,0.04%,1.176MiB,31.29GiB,0.00%,9.43kB,5.04kB,0B,0B,1
2025-06-27T11:48:33Z,0.03%,1.176MiB,31.29GiB,0.00%,9.43kB,5.04kB,0B,0B,1
2025-06-27T11:48:45Z,0.04%,1.176MiB,31.29GiB,0.00%,9.74kB,5.27kB,0B,0B,1
2025-06-27T11:48:57Z,0.04%,1.176MiB,31.29GiB,0.00%,9.91kB,5.35kB,0B,0B,1
2025-06-27T11:49:10Z,0.02%,1.176MiB,31.29GiB,0.00%,10.4kB,5.62kB,0B,0B,1
2025-06-27T11:49:23Z,0.02%,1.176MiB,31.29GiB,0.00%,10.4kB,5.62kB,0B,0B,1
2025-06-27T11:49:35Z,0.05%,1.176MiB,31.29GiB,0.00%,10.4kB,5.62kB,0B,0B,1
2025-06-27T11:49:47Z,0.03%,1.176MiB,31.29GiB,0.00%,10.6kB,5.76kB,0B,0B,1
2025-06-27T11:50:00Z,0.04%,1.176MiB,31.29GiB,0.00%,11.2kB,6.11kB,0B,0B,1
2025-06-27T11:50:12Z,0.03%,1.176MiB,31.29GiB,0.00%,11.2kB,6.11kB,0B,0B,1
2025-06-27T11:50:25Z,0.04%,1.176MiB,31.29GiB,0.00%,11.2kB,6.11kB,0B,0B,1
2025-06-27T11:50:37Z,0.02%,1.176MiB,31.29GiB,0.00%,11.2kB,6.11kB,0B,0B,1
2025-06-27T11:50:50Z,0.04%,1.176MiB,31.29GiB,0.00%,11.4kB,6.26kB,0B,0B,1
2025-06-27T11:51:02Z,0.03%,1.176MiB,31.29GiB,0.00%,12kB,6.54kB,0B,0B,1
2025-06-27T11:51:15Z,0.04%,1.176MiB,31.29GiB,0.00%,12kB,6.54kB,0B,0B,1
2025-06-27T11:51:27Z,0.03%,1.176MiB,31.29GiB,0.00%,12kB,6.54kB,0B,0B,1
2025-06-27T11:51:40Z,0.03%,1.176MiB,31.29GiB,0.00%,12kB,6.54kB,0B,0B,1
2025-06-27T11:51:52Z,0.05%,1.176MiB,31.29GiB,0.00%,12.2kB,6.69kB,0B,0B,1
2025-06-27T11:52:05Z,0.03%,1.18MiB,31.29GiB,0.00%,12.7kB,6.96kB,0B,0B,1
2025-06-27T11:52:17Z,0.03%,1.18MiB,31.29GiB,0.00%,12.7kB,6.96kB,0B,0B,1
2025-06-27T11:52:30Z,0.03%,1.18MiB,31.29GiB,0.00%,12.7kB,6.96kB,0B,0B,1
2025-06-27T11:52:43Z,0.03%,1.18MiB,31.29GiB,0.00%,12.8kB,6.96kB,0B,0B,1
2025-06-27T11:52:55Z,0.03%,1.18MiB,31.29GiB,0.00%,13kB,7.11kB,0B,0B,1
2025-06-27T11:53:07Z,0.03%,1.18MiB,31.29GiB,0.00%,13.5kB,7.38kB,0B,0B,1
2025-06-27T11:53:20Z,0.03%,1.18MiB,31.29GiB,0.00%,13.5kB,7.38kB,0B,0B,1
2025-06-27T11:53:33Z,0.06%,1.18MiB,31.29GiB,0.00%,13.5kB,7.38kB,0B,0B,1
2025-06-27T11:53:45Z,0.06%,1.18MiB,31.29GiB,0.00%,13.7kB,7.45kB,0B,0B,1
2025-06-27T11:53:57Z,0.02%,1.18MiB,31.29GiB,0.00%,13.8kB,7.54kB,0B,0B,1
2025-06-27T11:54:10Z,0.42%,1.16MiB,31.29GiB,0.00%,15kB,8.14kB,0B,0B,1
2025-06-27T11:54:23Z,0.05%,1.152MiB,31.29GiB,0.00%,3.95kB,2kB,0B,0B,1
2025-06-27T11:54:35Z,0.03%,1.16MiB,31.29GiB,0.00%,3.29kB,1.67kB,0B,0B,1
2025-06-27T11:55:00Z,0.03%,1.164MiB,31.29GiB,0.00%,3.38kB,1.72kB,0B,0B,1
2025-06-27T11:55:13Z,0.04%,1.168MiB,31.29GiB,0.00%,3.29kB,1.67kB,0B,0B,1
2025-06-27T11:55:25Z,0.03%,1.168MiB,31.29GiB,0.00%,3.36kB,1.77kB,0B,0B,1
2025-06-27T11:55:37Z,0.04%,1.168MiB,31.29GiB,0.00%,3.36kB,1.77kB,0B,0B,1
2025-06-27T11:55:50Z,0.03%,1.168MiB,31.29GiB,0.00%,3.36kB,1.77kB,0B,0B,1
2025-06-27T11:56:03Z,0.03%,1.168MiB,31.29GiB,0.00%,3.25kB,1.63kB,0B,0B,1
2025-06-27T11:56:16Z,0.03%,1.168MiB,31.29GiB,0.00%,3.36kB,1.77kB,0B,0B,1
2025-06-27T11:56:29Z,0.04%,1.148MiB,31.29GiB,0.00%,4.02kB,2.1kB,0B,0B,1
2025-06-27T11:56:41Z,0.04%,1.148MiB,31.29GiB,0.00%,4.14kB,2.15kB,0B,0B,1
2025-06-27T11:56:55Z,0.04%,1.148MiB,31.29GiB,0.00%,4.4kB,2.15kB,0B,0B,1
2025-06-27T11:57:09Z,0.04%,1.16MiB,31.29GiB,0.00%,3.4kB,1.81kB,0B,0B,1
2025-06-27T11:57:22Z,0.03%,1.16MiB,31.29GiB,0.00%,3.4kB,1.81kB,0B,0B,1
2025-06-27T11:57:34Z,0.03%,1.16MiB,31.29GiB,0.00%,3.4kB,1.81kB,0B,0B,1
2025-06-27T11:57:46Z,0.03%,1.16MiB,31.29GiB,0.00%,3.4kB,1.81kB,0B,0B,1
2025-06-27T11:57:59Z,0.04%,1.16MiB,31.29GiB,0.00%,4.07kB,2.15kB,0B,0B,1
2025-06-27T11:58:12Z,0.04%,1.16MiB,31.29GiB,0.00%,4.16kB,2.24kB,0B,0B,1
2025-06-27T11:58:24Z,0.03%,1.16MiB,31.29GiB,0.00%,4.16kB,2.24kB,0B,0B,1
2025-06-27T11:58:36Z,0.05%,1.16MiB,31.29GiB,0.00%,4.32kB,2.24kB,0B,0B,1
2025-06-27T11:58:49Z,0.03%,1.16MiB,31.29GiB,0.00%,14.7kB,2.24kB,0B,0B,1
2025-06-27T11:59:02Z,0.03%,1.16MiB,31.29GiB,0.00%,36.1kB,2.58kB,0B,0B,1
2025-06-27T11:59:14Z,0.03%,1.16MiB,31.29GiB,0.00%,36.5kB,2.66kB,0B,0B,1
2025-06-27T11:59:26Z,0.03%,1.16MiB,31.29GiB,0.00%,37kB,2.66kB,0B,0B,1
2025-06-27T11:59:39Z,0.07%,1.16MiB,31.29GiB,0.00%,37kB,2.66kB,0B,0B,1
2025-06-27T11:59:52Z,0.03%,1.16MiB,31.29GiB,0.00%,37.4kB,2.66kB,0B,0B,1
2025-06-27T12:00:04Z,0.03%,1.16MiB,31.29GiB,0.00%,38.5kB,3.09kB,0B,0B,1
2025-06-27T12:00:16Z,0.03%,1.16MiB,31.29GiB,0.00%,38.5kB,3.09kB,0B,0B,1
2025-06-27T12:00:29Z,0.05%,1.16MiB,31.29GiB,0.00%,38.5kB,3.09kB,0B,0B,1
2025-06-27T12:00:41Z,0.03%,1.16MiB,31.29GiB,0.00%,38.5kB,3.09kB,0B,0B,1
2025-06-27T12:00:53Z,0.04%,1.16MiB,31.29GiB,0.00%,38.5kB,3.09kB,0B,0B,1
2025-06-27T12:01:05Z,0.04%,1.164MiB,31.29GiB,0.00%,39.2kB,3.43kB,0B,0B,1
2025-06-27T12:01:17Z,0.03%,1.164MiB,31.29GiB,0.00%,39.2kB,3.43kB,0B,0B,1
2025-06-27T12:01:30Z,0.03%,1.164MiB,31.29GiB,0.00%,39.2kB,3.43kB,0B,0B,1
2025-06-27T12:01:43Z,0.02%,1.164MiB,31.29GiB,0.00%,39.2kB,3.43kB,0B,0B,1
2025-06-27T12:01:55Z,0.03%,1.164MiB,31.29GiB,0.00%,39.2kB,3.43kB,0B,0B,1
2025-06-27T12:02:07Z,0.14%,1.145MiB,31.29GiB,0.00%,40.6kB,4.18kB,0B,0B,1
2025-06-27T12:02:20Z,0.03%,1.164MiB,31.29GiB,0.00%,3.29kB,1.67kB,0B,0B,1
2025-06-27T12:02:33Z,0.02%,1.164MiB,31.29GiB,0.00%,3.4kB,1.81kB,0B,0B,1
2025-06-27T12:02:45Z,0.04%,1.164MiB,31.29GiB,0.00%,3.4kB,1.81kB,0B,0B,1
2025-06-27T12:02:57Z,0.03%,1.16MiB,31.29GiB,0.00%,3.29kB,1.67kB,0B,0B,1
2025-06-27T12:03:10Z,0.03%,1.16MiB,31.29GiB,0.00%,3.36kB,1.77kB,0B,0B,1
2025-06-27T12:03:23Z,0.02%,1.16MiB,31.29GiB,0.00%,3.36kB,1.77kB,0B,0B,1
2025-06-27T12:03:35Z,0.02%,1.16MiB,31.29GiB,0.00%,3.36kB,1.77kB,0B,0B,1
2025-06-27T12:03:47Z,0.05%,1.16MiB,31.29GiB,0.00%,3.36kB,1.77kB,0B,0B,1
2025-06-27T12:04:00Z,0.04%,1.16MiB,31.29GiB,0.00%,4.11kB,2.2kB,0B,0B,1
2025-06-27T12:04:13Z,0.05%,1.16MiB,31.29GiB,0.00%,4.11kB,2.2kB,0B,0B,1
2025-06-27T12:04:25Z,0.03%,1.16MiB,31.29GiB,0.00%,4.11kB,2.2kB,0B,0B,1
2025-06-27T12:04:37Z,0.05%,1.145MiB,31.29GiB,0.00%,4.77kB,2.53kB,0B,0B,1
2025-06-27T12:04:49Z,0.05%,1.172MiB,31.29GiB,0.00%,3.29kB,1.67kB,0B,0B,1
2025-06-27T12:05:02Z,0.02%,1.172MiB,31.29GiB,0.00%,3.36kB,1.77kB,0B,0B,1
2025-06-27T12:05:15Z,0.04%,1.172MiB,31.29GiB,0.00%,3.67kB,2kB,0B,0B,1
2025-06-27T12:05:29Z,0.02%,1.172MiB,31.29GiB,0.00%,3.75kB,2kB,0B,0B,1
2025-06-27T12:05:41Z,0.04%,1.172MiB,31.29GiB,0.00%,4.29kB,2.27kB,0B,0B,1
2025-06-27T12:05:54Z,0.03%,1.172MiB,31.29GiB,0.00%,4.33kB,2.31kB,0B,0B,1
2025-06-27T12:06:06Z,0.05%,1.172MiB,31.29GiB,0.00%,4.33kB,2.31kB,0B,0B,1
2025-06-27T12:06:19Z,0.12%,1.172MiB,31.29GiB,0.00%,4.55kB,2.53kB,0B,0B,1
2025-06-27T12:06:32Z,0.02%,1.172MiB,31.29GiB,0.00%,4.55kB,2.53kB,0B,0B,1
2025-06-27T12:06:44Z,0.04%,1.172MiB,31.29GiB,0.00%,5.09kB,2.81kB,0B,0B,1
2025-06-27T12:06:56Z,0.03%,1.172MiB,31.29GiB,0.00%,5.09kB,2.81kB,0B,0B,1
2025-06-27T12:07:09Z,0.06%,1.152MiB,31.29GiB,0.00%,5.75kB,3.13kB,0B,0B,1
2025-06-27T12:07:23Z,0.03%,1.168MiB,31.29GiB,0.00%,3.33kB,1.72kB,0B,0B,1
2025-06-27T12:07:47Z,0.10%,1.172MiB,31.29GiB,0.00%,3.4kB,1.81kB,0B,0B,1
2025-06-27T12:08:00Z,0.03%,1.168MiB,31.29GiB,0.00%,3.8kB,2.04kB,0B,0B,1
2025-06-27T12:08:13Z,0.03%,1.168MiB,31.29GiB,0.00%,3.8kB,2.04kB,0B,0B,1
2025-06-27T12:08:25Z,0.06%,1.168MiB,31.29GiB,0.00%,3.8kB,2.04kB,0B,0B,1
2025-06-27T12:08:38Z,0.03%,1.168MiB,31.29GiB,0.00%,4.33kB,2.31kB,0B,0B,1
2025-06-27T12:08:50Z,0.03%,1.168MiB,31.29GiB,0.00%,4.42kB,2.4kB,0B,0B,1
2025-06-27T12:09:03Z,0.05%,1.152MiB,31.29GiB,0.00%,5.21kB,2.86kB,0B,0B,1
2025-06-27T12:09:15Z,0.03%,1.168MiB,31.29GiB,0.00%,3.33kB,1.72kB,0B,0B,1
2025-06-27T12:09:27Z,0.03%,1.168MiB,31.29GiB,0.00%,4.37kB,1.81kB,0B,0B,1
2025-06-27T12:09:40Z,0.03%,1.168MiB,31.29GiB,0.00%,9.02kB,1.81kB,0B,0B,1
2025-06-27T12:09:53Z,0.04%,1.168MiB,31.29GiB,0.00%,11.2kB,1.81kB,0B,0B,1
2025-06-27T12:10:05Z,0.03%,1.168MiB,31.29GiB,0.00%,11.2kB,1.81kB,0B,0B,1
2025-06-27T12:10:17Z,0.07%,1.168MiB,31.29GiB,0.00%,12.3kB,2.24kB,0B,0B,1
2025-06-27T12:10:30Z,0.03%,1.168MiB,31.29GiB,0.00%,13.1kB,2.24kB,0B,0B,1
2025-06-27T12:10:43Z,0.04%,1.168MiB,31.29GiB,0.00%,13.5kB,2.24kB,0B,0B,1
2025-06-27T12:10:55Z,0.03%,1.168MiB,31.29GiB,0.00%,13.5kB,2.24kB,0B,0B,1
2025-06-27T12:11:07Z,0.04%,1.184MiB,31.29GiB,0.00%,14.2kB,2.58kB,0B,0B,1
2025-06-27T12:11:20Z,0.03%,1.168MiB,31.29GiB,0.00%,14.2kB,2.58kB,0B,0B,1
2025-06-27T12:11:33Z,0.72%,1.168MiB,31.29GiB,0.00%,14.2kB,2.58kB,0B,0B,1
2025-06-27T12:11:45Z,0.03%,1.168MiB,31.29GiB,0.00%,14.2kB,2.58kB,0B,0B,1
2025-06-27T12:11:58Z,0.03%,1.168MiB,31.29GiB,0.00%,14.2kB,2.58kB,0B,0B,1
2025-06-27T12:12:10Z,0.03%,1.168MiB,31.29GiB,0.00%,14.9kB,2.92kB,0B,0B,1
2025-06-27T12:12:23Z,0.03%,1.168MiB,31.29GiB,0.00%,14.9kB,3kB,0B,0B,1
2025-06-27T12:12:35Z,2.17%,1.168MiB,31.29GiB,0.00%,14.9kB,3kB,0B,0B,1
2025-06-27T12:12:47Z,0.03%,1.168MiB,31.29GiB,0.00%,14.9kB,3kB,0B,0B,1
2025-06-27T12:13:00Z,0.03%,1.168MiB,31.29GiB,0.00%,14.9kB,3kB,0B,0B,1
2025-06-27T12:13:13Z,0.02%,1.168MiB,31.29GiB,0.00%,15.7kB,3.43kB,0B,0B,1
2025-06-27T12:13:25Z,0.04%,1.168MiB,31.29GiB,0.00%,15.7kB,3.43kB,0B,0B,1
2025-06-27T12:13:37Z,0.05%,1.168MiB,31.29GiB,0.00%,15.7kB,3.43kB,0B,0B,1
2025-06-27T12:13:50Z,0.03%,1.168MiB,31.29GiB,0.00%,15.7kB,3.43kB,0B,0B,1
2025-06-27T12:14:03Z,0.05%,1.168MiB,31.29GiB,0.00%,15.7kB,3.43kB,0B,0B,1
2025-06-27T12:14:15Z,0.03%,1.168MiB,31.29GiB,0.00%,16.4kB,3.85kB,0B,0B,1
2025-06-27T12:14:27Z,0.03%,1.168MiB,31.29GiB,0.00%,16.4kB,3.85kB,0B,0B,1
2025-06-27T12:14:40Z,0.03%,1.168MiB,31.29GiB,0.00%,16.4kB,3.85kB,0B,0B,1
2025-06-27T12:14:53Z,0.03%,1.168MiB,31.29GiB,0.00%,16.4kB,3.85kB,0B,0B,1
2025-06-27T12:15:05Z,0.03%,1.168MiB,31.29GiB,0.00%,16.4kB,3.85kB,0B,0B,1
2025-06-27T12:15:17Z,0.04%,1.168MiB,31.29GiB,0.00%,17.2kB,4.28kB,0B,0B,1
2025-06-27T12:15:30Z,0.04%,1.168MiB,31.29GiB,0.00%,17.2kB,4.28kB,0B,0B,1
2025-06-27T12:15:43Z,0.05%,1.168MiB,31.29GiB,0.00%,17.2kB,4.28kB,0B,0B,1
2025-06-27T12:15:55Z,0.05%,1.168MiB,31.29GiB,0.00%,17.2kB,4.28kB,0B,0B,1
2025-06-27T12:16:07Z,0.03%,1.168MiB,31.29GiB,0.00%,17.9kB,4.62kB,0B,0B,1
2025-06-27T12:16:20Z,0.04%,1.168MiB,31.29GiB,0.00%,17.9kB,4.62kB,0B,0B,1
2025-06-27T12:16:33Z,0.03%,1.168MiB,31.29GiB,0.00%,17.9kB,4.62kB,0B,0B,1
2025-06-27T12:16:45Z,0.04%,1.168MiB,31.29GiB,0.00%,17.9kB,4.62kB,0B,0B,1
2025-06-27T12:16:57Z,0.03%,1.168MiB,31.29GiB,0.00%,17.9kB,4.62kB,0B,0B,1
2025-06-27T12:17:10Z,0.04%,1.148MiB,31.29GiB,0.00%,19.2kB,5.29kB,0B,0B,1
