Timestamp,CPU_%,Mem_Usage,Mem_Limit,Mem_%,Net_Input,Net_Output,Block_Input,Block_Output,PIDs
2025-06-27T11:47:56Z,0.00%,18.82MiB,31.29GiB,0.06%,183MB,246MB,504MB,57.8MB,114
2025-06-27T11:48:08Z,0.00%,18.82MiB,31.29GiB,0.06%,183MB,246MB,504MB,57.8MB,114
2025-06-27T11:48:21Z,0.00%,18.82MiB,31.29GiB,0.06%,183MB,246MB,504MB,57.8MB,114
2025-06-27T11:48:33Z,0.00%,18.82MiB,31.29GiB,0.06%,183MB,246MB,504MB,57.8MB,114
2025-06-27T11:48:45Z,0.03%,19.42MiB,31.29GiB,0.06%,183MB,246MB,504MB,57.8MB,118
2025-06-27T11:48:57Z,0.30%,20.08MiB,31.29GiB,0.06%,183MB,246MB,504MB,57.8MB,122
2025-06-27T11:49:10Z,0.56%,21.49MiB,31.29GiB,0.07%,183MB,246MB,504MB,57.8MB,131
2025-06-27T11:49:23Z,0.51%,22.43MiB,31.29GiB,0.07%,183MB,246MB,504MB,57.8MB,137
2025-06-27T11:49:35Z,0.24%,23.38MiB,31.29GiB,0.07%,183MB,246MB,504MB,57.8MB,143
2025-06-27T11:49:47Z,0.01%,24.32MiB,31.29GiB,0.08%,183MB,246MB,504MB,57.8MB,149
2025-06-27T11:50:00Z,0.32%,24.95MiB,31.29GiB,0.08%,184MB,246MB,504MB,57.8MB,153
2025-06-27T11:50:12Z,0.31%,25.92MiB,31.29GiB,0.08%,184MB,246MB,504MB,57.8MB,159
2025-06-27T11:50:25Z,0.02%,27.14MiB,31.29GiB,0.08%,184MB,247MB,504MB,57.8MB,167
2025-06-27T11:50:37Z,0.31%,28.7MiB,31.29GiB,0.09%,184MB,247MB,504MB,57.8MB,177
2025-06-27T11:50:50Z,0.01%,29.89MiB,31.29GiB,0.09%,184MB,247MB,504MB,57.8MB,183
2025-06-27T11:51:02Z,0.01%,30.58MiB,31.29GiB,0.10%,184MB,247MB,504MB,57.8MB,189
2025-06-27T11:51:15Z,0.22%,31.24MiB,31.29GiB,0.10%,184MB,247MB,504MB,57.8MB,193
2025-06-27T11:51:27Z,0.55%,32.87MiB,31.29GiB,0.10%,184MB,247MB,504MB,57.8MB,202
2025-06-27T11:51:40Z,0.25%,33.56MiB,31.29GiB,0.10%,184MB,247MB,504MB,57.8MB,208
2025-06-27T11:51:52Z,0.35%,34.51MiB,31.29GiB,0.11%,184MB,247MB,504MB,57.8MB,214
2025-06-27T11:52:05Z,0.02%,35.9MiB,31.29GiB,0.11%,184MB,247MB,504MB,57.8MB,223
2025-06-27T11:52:17Z,0.19%,36.56MiB,31.29GiB,0.11%,184MB,248MB,504MB,57.8MB,227
2025-06-27T11:52:30Z,0.45%,38.11MiB,31.29GiB,0.12%,184MB,248MB,504MB,57.8MB,236
2025-06-27T11:52:43Z,0.83%,38.89MiB,31.29GiB,0.12%,184MB,248MB,504MB,57.8MB,242
2025-06-27T11:52:55Z,0.27%,39.84MiB,31.29GiB,0.12%,184MB,248MB,504MB,57.8MB,248
2025-06-27T11:53:07Z,0.06%,41.23MiB,31.29GiB,0.13%,184MB,248MB,504MB,57.8MB,257
2025-06-27T11:53:20Z,0.27%,42.12MiB,31.29GiB,0.13%,184MB,248MB,504MB,57.8MB,261
2025-06-27T11:53:33Z,0.46%,43.54MiB,31.29GiB,0.14%,184MB,248MB,504MB,57.8MB,270
2025-06-27T11:53:45Z,0.41%,45.13MiB,31.29GiB,0.14%,184MB,248MB,504MB,57.8MB,282
2025-06-27T11:53:57Z,0.08%,46.32MiB,31.29GiB,0.14%,184MB,248MB,504MB,57.8MB,288
2025-06-27T11:54:10Z,0.36%,47.52MiB,31.29GiB,0.15%,184MB,249MB,504MB,57.8MB,294
2025-06-27T11:54:23Z,0.14%,47.02MiB,31.29GiB,0.15%,184MB,249MB,504MB,57.8MB,294
2025-06-27T11:54:35Z,0.05%,47.27MiB,31.29GiB,0.15%,184MB,249MB,504MB,57.8MB,294
2025-06-27T11:54:47Z,0.60%,47.42MiB,31.29GiB,0.15%,184MB,249MB,504MB,57.8MB,295
2025-06-27T11:55:00Z,0.07%,47.52MiB,31.29GiB,0.15%,184MB,249MB,504MB,57.8MB,294
2025-06-27T11:55:13Z,0.59%,47.54MiB,31.29GiB,0.15%,185MB,250MB,504MB,57.8MB,294
2025-06-27T11:55:25Z,0.05%,47.04MiB,31.29GiB,0.15%,185MB,250MB,504MB,57.8MB,294
2025-06-27T11:55:37Z,0.04%,47.04MiB,31.29GiB,0.15%,185MB,250MB,504MB,57.8MB,294
2025-06-27T11:55:50Z,0.16%,47.04MiB,31.29GiB,0.15%,185MB,250MB,504MB,57.8MB,294
2025-06-27T11:56:03Z,0.13%,47.54MiB,31.29GiB,0.15%,185MB,250MB,504MB,57.8MB,294
2025-06-27T11:56:16Z,0.13%,48.04MiB,31.29GiB,0.15%,185MB,250MB,504MB,57.8MB,294
2025-06-27T11:56:29Z,0.39%,47.2MiB,31.29GiB,0.15%,185MB,250MB,504MB,57.8MB,295
2025-06-27T11:56:41Z,0.42%,47.29MiB,31.29GiB,0.15%,185MB,250MB,504MB,57.8MB,294
2025-06-27T11:56:55Z,1.43%,47.04MiB,31.29GiB,0.15%,185MB,251MB,504MB,57.8MB,294
2025-06-27T11:57:09Z,0.03%,47.04MiB,31.29GiB,0.15%,185MB,251MB,504MB,57.8MB,294
2025-06-27T11:57:22Z,0.08%,47.29MiB,31.29GiB,0.15%,185MB,251MB,504MB,57.8MB,294
2025-06-27T11:57:34Z,0.05%,47.04MiB,31.29GiB,0.15%,185MB,251MB,504MB,57.8MB,294
2025-06-27T11:57:46Z,0.07%,48.04MiB,31.29GiB,0.15%,185MB,251MB,504MB,57.8MB,294
2025-06-27T11:57:59Z,0.08%,47.04MiB,31.29GiB,0.15%,185MB,251MB,504MB,57.8MB,294
2025-06-27T11:58:12Z,0.04%,47.29MiB,31.29GiB,0.15%,185MB,251MB,504MB,57.8MB,294
2025-06-27T11:58:24Z,0.04%,48.04MiB,31.29GiB,0.15%,185MB,251MB,504MB,57.8MB,294
2025-06-27T11:58:36Z,0.06%,47.29MiB,31.29GiB,0.15%,185MB,251MB,504MB,57.8MB,294
2025-06-27T11:58:49Z,89.07%,20.71MiB,31.29GiB,0.06%,185MB,251MB,504MB,57.8MB,126
2025-06-27T11:59:02Z,0.00%,20.71MiB,31.29GiB,0.06%,185MB,251MB,504MB,57.8MB,126
2025-06-27T11:59:14Z,0.00%,20.71MiB,31.29GiB,0.06%,185MB,251MB,504MB,57.8MB,126
2025-06-27T11:59:26Z,0.00%,20.71MiB,31.29GiB,0.06%,185MB,251MB,504MB,57.8MB,126
2025-06-27T11:59:39Z,0.00%,20.71MiB,31.29GiB,0.06%,185MB,251MB,504MB,57.8MB,126
2025-06-27T11:59:52Z,0.00%,20.71MiB,31.29GiB,0.06%,185MB,251MB,504MB,57.8MB,126
2025-06-27T12:00:04Z,0.00%,20.71MiB,31.29GiB,0.06%,185MB,251MB,504MB,57.8MB,126
2025-06-27T12:00:16Z,0.00%,20.71MiB,31.29GiB,0.06%,185MB,251MB,504MB,57.8MB,126
2025-06-27T12:00:29Z,0.00%,20.71MiB,31.29GiB,0.06%,185MB,251MB,504MB,57.8MB,126
2025-06-27T12:00:41Z,0.00%,20.71MiB,31.29GiB,0.06%,185MB,251MB,504MB,57.8MB,126
2025-06-27T12:00:53Z,0.00%,20.71MiB,31.29GiB,0.06%,185MB,251MB,504MB,57.8MB,126
2025-06-27T12:01:05Z,0.00%,20.71MiB,31.29GiB,0.06%,185MB,251MB,504MB,57.8MB,126
2025-06-27T12:01:17Z,0.00%,20.71MiB,31.29GiB,0.06%,185MB,251MB,504MB,57.8MB,126
