Timestamp,CPU_%,Mem_Usage,Mem_Limit,Mem_%,Net_Input,Net_Output,Block_Input,Block_Output,PIDs
2025-06-27T11:47:56Z,2.12%,170.1MiB,31.29GiB,0.53%,412kB,1.24MB,139MB,94.1MB,36
2025-06-27T11:48:08Z,1.93%,170.1MiB,31.29GiB,0.53%,412kB,1.24MB,139MB,94.1MB,36
2025-06-27T11:48:21Z,2.10%,170.3MiB,31.29GiB,0.53%,412kB,1.24MB,139MB,94.1MB,36
2025-06-27T11:48:33Z,1.82%,170.1MiB,31.29GiB,0.53%,412kB,1.24MB,139MB,94.1MB,36
2025-06-27T11:48:45Z,1.58%,170.1MiB,31.29GiB,0.53%,412kB,1.24MB,139MB,94.1MB,36
2025-06-27T11:48:57Z,2.19%,170.3MiB,31.29GiB,0.53%,656kB,1.28MB,139MB,94.1MB,36
2025-06-27T11:49:10Z,2.16%,170.6MiB,31.29GiB,0.53%,656kB,1.28MB,139MB,94.1MB,36
2025-06-27T11:49:23Z,1.79%,170.4MiB,31.29GiB,0.53%,656kB,1.28MB,139MB,94.1MB,36
2025-06-27T11:49:35Z,2.03%,170.4MiB,31.29GiB,0.53%,656kB,1.28MB,139MB,94.1MB,36
2025-06-27T11:49:47Z,1.84%,170.6MiB,31.29GiB,0.53%,656kB,1.28MB,139MB,94.1MB,36
2025-06-27T11:50:00Z,1.95%,170.4MiB,31.29GiB,0.53%,656kB,1.29MB,139MB,94.1MB,36
2025-06-27T11:50:12Z,1.86%,170.4MiB,31.29GiB,0.53%,656kB,1.29MB,139MB,94.1MB,36
2025-06-27T11:50:25Z,1.94%,170.4MiB,31.29GiB,0.53%,656kB,1.29MB,139MB,94.1MB,36
2025-06-27T11:50:37Z,1.90%,170.4MiB,31.29GiB,0.53%,656kB,1.29MB,139MB,94.1MB,36
2025-06-27T11:50:50Z,3.06%,170.7MiB,31.29GiB,0.53%,656kB,1.29MB,139MB,94.1MB,36
