Timestamp,CPU_%,Mem_Usage,Mem_Limit,Mem_%,Net_Input,Net_Output,Block_Input,Block_Output,PIDs
2025-06-27T11:47:56Z,0.00%,728.3MiB,31.29GiB,2.27%,395MB,246MB,18.1GB,2.24GB,8097
2025-06-27T11:48:08Z,0.00%,728.3MiB,31.29GiB,2.27%,395MB,246MB,18.1GB,2.24GB,8097
2025-06-27T11:48:21Z,0.00%,728.3MiB,31.29GiB,2.27%,395MB,246MB,18.1GB,2.24GB,8097
2025-06-27T11:48:33Z,0.00%,729.2MiB,31.29GiB,2.28%,396MB,246MB,18.1GB,2.24GB,8097
2025-06-27T11:48:45Z,0.46%,774.3MiB,31.29GiB,2.42%,397MB,247MB,18.1GB,2.24GB,8119
2025-06-27T11:48:57Z,5.35%,847.4MiB,31.29GiB,2.64%,398MB,247MB,18.1GB,2.24GB,8186
2025-06-27T11:49:10Z,9.54%,893.8MiB,31.29GiB,2.79%,398MB,247MB,18.1GB,2.24GB,8265
2025-06-27T11:49:23Z,11.79%,957.8MiB,31.29GiB,2.99%,398MB,247MB,18.1GB,2.24GB,8333
2025-06-27T11:49:35Z,4.25%,1022MiB,31.29GiB,3.19%,398MB,247MB,18.1GB,2.24GB,8401
2025-06-27T11:49:47Z,0.03%,1.066GiB,31.29GiB,3.40%,398MB,247MB,18.1GB,2.24GB,8470
2025-06-27T11:50:00Z,4.72%,1.129GiB,31.29GiB,3.61%,398MB,247MB,18.1GB,2.24GB,8535
2025-06-27T11:50:12Z,5.37%,1.192GiB,31.29GiB,3.81%,398MB,248MB,18.1GB,2.24GB,8603
2025-06-27T11:50:25Z,9.05%,1.268GiB,31.29GiB,4.05%,399MB,248MB,18.1GB,2.24GB,8680
2025-06-27T11:50:37Z,4.37%,1.346GiB,31.29GiB,4.30%,399MB,248MB,18.1GB,2.24GB,8757
2025-06-27T11:50:50Z,0.17%,1.41GiB,31.29GiB,4.51%,399MB,248MB,18.1GB,2.24GB,8822
2025-06-27T11:51:02Z,0.35%,1.48GiB,31.29GiB,4.73%,399MB,248MB,18.1GB,2.24GB,8888
2025-06-27T11:51:15Z,6.02%,1.535GiB,31.29GiB,4.91%,399MB,248MB,18.1GB,2.24GB,8957
2025-06-27T11:51:27Z,7.30%,1.613GiB,31.29GiB,5.16%,399MB,248MB,18.1GB,2.24GB,9038
2025-06-27T11:51:40Z,4.36%,1.681GiB,31.29GiB,5.37%,399MB,248MB,18.1GB,2.24GB,9111
2025-06-27T11:51:52Z,7.00%,1.748GiB,31.29GiB,5.59%,400MB,248MB,18.1GB,2.24GB,9179
2025-06-27T11:52:05Z,0.23%,1.825GiB,31.29GiB,5.83%,400MB,248MB,18.1GB,2.24GB,9261
2025-06-27T11:52:17Z,4.79%,1.89GiB,31.29GiB,6.04%,400MB,248MB,18.1GB,2.24GB,9327
2025-06-27T11:52:30Z,9.89%,1.97GiB,31.29GiB,6.29%,400MB,248MB,18.1GB,2.24GB,9413
2025-06-27T11:52:43Z,10.77%,2.034GiB,31.29GiB,6.50%,400MB,248MB,18.1GB,2.24GB,9487
2025-06-27T11:52:55Z,4.65%,2.097GiB,31.29GiB,6.70%,400MB,248MB,18.1GB,2.24GB,9559
2025-06-27T11:53:07Z,2.48%,2.18GiB,31.29GiB,6.97%,400MB,248MB,18.1GB,2.24GB,9641
2025-06-27T11:53:20Z,3.63%,2.247GiB,31.29GiB,7.18%,401MB,248MB,18.1GB,2.24GB,9717
2025-06-27T11:53:33Z,9.16%,2.331GiB,31.29GiB,7.45%,401MB,248MB,18.1GB,2.24GB,9798
2025-06-27T11:53:45Z,8.28%,2.429GiB,31.29GiB,7.76%,401MB,248MB,18.1GB,2.24GB,9893
2025-06-27T11:53:57Z,9.79%,2.49GiB,31.29GiB,7.96%,401MB,249MB,18.1GB,2.24GB,9970
2025-06-27T11:54:10Z,175.10%,2.485GiB,31.29GiB,7.94%,401MB,249MB,18.1GB,2.24GB,10041
2025-06-27T11:54:23Z,85.07%,2.498GiB,31.29GiB,7.98%,401MB,249MB,18.1GB,2.24GB,10044
2025-06-27T11:54:35Z,0.27%,2.523GiB,31.29GiB,8.06%,402MB,249MB,18.1GB,2.24GB,10046
2025-06-27T11:54:47Z,64.86%,2.557GiB,31.29GiB,8.17%,402MB,249MB,18.1GB,2.24GB,10081
2025-06-27T11:55:00Z,1.65%,2.545GiB,31.29GiB,8.13%,402MB,249MB,18.1GB,2.24GB,10061
2025-06-27T11:55:13Z,1.12%,2.548GiB,31.29GiB,8.14%,402MB,249MB,18.1GB,2.24GB,10062
2025-06-27T11:55:25Z,0.87%,2.53GiB,31.29GiB,8.08%,403MB,249MB,18.1GB,2.24GB,10068
2025-06-27T11:55:37Z,2.01%,2.532GiB,31.29GiB,8.09%,403MB,249MB,18.1GB,2.24GB,10072
2025-06-27T11:55:50Z,2.44%,2.535GiB,31.29GiB,8.10%,403MB,249MB,18.1GB,2.24GB,10077
2025-06-27T11:56:03Z,53.09%,2.535GiB,31.29GiB,8.10%,403MB,249MB,18.1GB,2.24GB,10081
2025-06-27T11:56:16Z,1.87%,2.525GiB,31.29GiB,8.07%,403MB,249MB,18.1GB,2.24GB,10090
2025-06-27T11:56:29Z,8.00%,2.571GiB,31.29GiB,8.21%,403MB,249MB,18.1GB,2.24GB,10115
2025-06-27T11:56:41Z,7.98%,2.549GiB,31.29GiB,8.15%,403MB,249MB,18.1GB,2.24GB,10103
2025-06-27T11:56:55Z,11.81%,2.551GiB,31.29GiB,8.15%,404MB,249MB,18.1GB,2.24GB,10108
2025-06-27T11:57:09Z,2.07%,2.539GiB,31.29GiB,8.11%,404MB,249MB,18.1GB,2.24GB,10110
2025-06-27T11:57:22Z,4.19%,2.539GiB,31.29GiB,8.11%,404MB,249MB,18.1GB,2.24GB,10111
2025-06-27T11:57:34Z,2.48%,2.538GiB,31.29GiB,8.11%,404MB,249MB,18.1GB,2.24GB,10111
2025-06-27T11:57:46Z,1.97%,2.538GiB,31.29GiB,8.11%,404MB,249MB,18.1GB,2.24GB,10113
2025-06-27T11:57:59Z,3.29%,2.539GiB,31.29GiB,8.11%,404MB,250MB,18.1GB,2.24GB,10115
2025-06-27T11:58:12Z,2.91%,2.54GiB,31.29GiB,8.12%,404MB,250MB,18.1GB,2.24GB,10116
2025-06-27T11:58:24Z,1.77%,2.541GiB,31.29GiB,8.12%,404MB,250MB,18.1GB,2.24GB,10117
2025-06-27T11:58:36Z,1.25%,2.544GiB,31.29GiB,8.13%,404MB,250MB,18.1GB,2.24GB,10119
2025-06-27T11:58:49Z,411.70%,796.7MiB,31.29GiB,2.49%,404MB,250MB,18.1GB,2.24GB,8646
2025-06-27T11:59:02Z,0.00%,798.6MiB,31.29GiB,2.49%,404MB,250MB,18.1GB,2.24GB,8646
2025-06-27T11:59:14Z,0.00%,802.5MiB,31.29GiB,2.50%,404MB,250MB,18.1GB,2.24GB,8646
2025-06-27T11:59:26Z,0.00%,801.6MiB,31.29GiB,2.50%,404MB,250MB,18.1GB,2.24GB,8646
2025-06-27T11:59:39Z,0.00%,801.6MiB,31.29GiB,2.50%,404MB,250MB,18.1GB,2.24GB,8646
2025-06-27T11:59:52Z,0.00%,801.6MiB,31.29GiB,2.50%,404MB,250MB,18.1GB,2.24GB,8646
