Timestamp,CPU_%,Mem_Usage,Mem_Limit,Mem_%,Net_Input,Net_Output,Block_Input,Block_Output,PIDs
2025-06-27T14:40:10Z,2.38%,8.137MiB,31.29GiB,0.03%,956B,79.6kB,0B,0B,1
2025-06-27T14:40:23Z,3.82%,7.551MiB,31.29GiB,0.02%,68.2kB,305kB,0B,20.5kB,1
2025-06-27T14:40:36Z,3.46%,7.945MiB,31.29GiB,0.02%,268kB,642kB,0B,41kB,1
2025-06-27T14:40:49Z,2.40%,7.945MiB,31.29GiB,0.02%,270kB,754kB,0B,69.6kB,1
2025-06-27T14:41:00Z,2.20%,7.957MiB,31.29GiB,0.02%,274kB,858kB,0B,77.8kB,1
2025-06-27T14:41:13Z,1.90%,7.953MiB,31.29GiB,0.02%,274kB,976kB,0B,86kB,1
2025-06-27T14:41:26Z,2.02%,7.961MiB,31.29GiB,0.02%,274kB,1.09MB,0B,94.2kB,1
2025-06-27T14:41:38Z,3.70%,8.047MiB,31.29GiB,0.03%,343kB,1.24MB,0B,98.3kB,1
2025-06-27T14:41:50Z,2.24%,8.164MiB,31.29GiB,0.03%,414kB,1.4MB,0B,98.3kB,1
2025-06-27T14:42:03Z,2.51%,8.168MiB,31.29GiB,0.03%,418kB,1.5MB,0B,119kB,1
2025-06-27T14:42:16Z,1.92%,8.176MiB,31.29GiB,0.03%,421kB,1.62MB,0B,127kB,1
2025-06-27T14:42:28Z,2.24%,8.422MiB,31.29GiB,0.03%,421kB,1.73MB,0B,131kB,1
2025-06-27T14:42:40Z,1.81%,8.422MiB,31.29GiB,0.03%,421kB,1.84MB,0B,139kB,1
2025-06-27T14:42:53Z,3.73%,8.805MiB,31.29GiB,0.03%,497kB,2.03MB,0B,147kB,1
2025-06-27T14:43:06Z,2.20%,8.434MiB,31.29GiB,0.03%,561kB,2.21MB,0B,147kB,1
2025-06-27T14:43:18Z,1.90%,8.465MiB,31.29GiB,0.03%,578kB,2.32MB,0B,152kB,1
2025-06-27T14:43:30Z,2.15%,8.496MiB,31.29GiB,0.03%,596kB,2.43MB,0B,160kB,1
2025-06-27T14:43:43Z,1.89%,8.496MiB,31.29GiB,0.03%,597kB,2.55MB,0B,164kB,1
2025-06-27T14:43:56Z,2.23%,8.746MiB,31.29GiB,0.03%,597kB,2.65MB,0B,164kB,1
2025-06-27T14:44:08Z,2.77%,8.617MiB,31.29GiB,0.03%,665kB,2.83MB,0B,172kB,1
2025-06-27T14:44:20Z,2.02%,8.727MiB,31.29GiB,0.03%,732kB,3.01MB,0B,176kB,1
2025-06-27T14:44:33Z,1.57%,8.734MiB,31.29GiB,0.03%,736kB,3.12MB,0B,176kB,1
2025-06-27T14:44:46Z,2.39%,8.738MiB,31.29GiB,0.03%,738kB,3.23MB,0B,184kB,1
2025-06-27T14:44:58Z,1.88%,8.984MiB,31.29GiB,0.03%,738kB,3.34MB,0B,184kB,1
2025-06-27T14:45:10Z,2.14%,9.73MiB,31.29GiB,0.03%,738kB,3.45MB,0B,184kB,1
2025-06-27T14:45:23Z,5.50%,9.168MiB,31.29GiB,0.03%,841kB,3.66MB,0B,193kB,1
2025-06-27T14:45:36Z,1.75%,9.016MiB,31.29GiB,0.03%,892kB,3.81MB,0B,193kB,1
2025-06-27T14:45:48Z,2.35%,9.273MiB,31.29GiB,0.03%,901kB,3.92MB,0B,201kB,1
2025-06-27T14:46:00Z,2.54%,9.023MiB,31.29GiB,0.03%,902kB,4.03MB,0B,205kB,1
2025-06-27T14:46:13Z,3.00%,9.023MiB,31.29GiB,0.03%,903kB,4.14MB,0B,221kB,1
2025-06-27T14:46:26Z,3.28%,9.027MiB,31.29GiB,0.03%,903kB,4.25MB,0B,242kB,1
2025-06-27T14:46:38Z,4.77%,9.172MiB,31.29GiB,0.03%,979kB,4.44MB,0B,258kB,1
2025-06-27T14:46:50Z,4.36%,9.531MiB,31.29GiB,0.03%,1.05MB,4.62MB,0B,287kB,1
2025-06-27T14:47:04Z,1.79%,9.828MiB,31.29GiB,0.03%,1.07MB,4.76MB,0B,287kB,1
2025-06-27T14:47:17Z,2.14%,9.336MiB,31.29GiB,0.03%,1.08MB,4.87MB,0B,295kB,1
