Timestamp,CPU_%,Mem_Usage,Mem_Limit,Mem_%,Net_Input,Net_Output,Block_Input,Block_Output,PIDs
2025-06-27T14:39:08Z,5.90%,8.008MiB,31.29GiB,0.02%,291kB,439kB,0B,0B,1
2025-06-27T14:39:20Z,2.23%,8.348MiB,31.29GiB,0.03%,465kB,718kB,0B,24.6kB,1
2025-06-27T14:39:33Z,2.47%,8.352MiB,31.29GiB,0.03%,472kB,837kB,0B,28.7kB,1
2025-06-27T14:39:45Z,3.44%,8.363MiB,31.29GiB,0.03%,478kB,951kB,0B,36.9kB,1
2025-06-27T14:39:58Z,2.56%,8.363MiB,31.29GiB,0.03%,479kB,1.06MB,0B,49.2kB,1
2025-06-27T14:40:10Z,2.01%,8.363MiB,31.29GiB,0.03%,479kB,1.17MB,0B,53.2kB,1
2025-06-27T14:40:23Z,4.16%,8.711MiB,31.29GiB,0.03%,562kB,1.33MB,0B,61.4kB,1
2025-06-27T14:40:36Z,4.66%,8.805MiB,31.29GiB,0.03%,750kB,1.64MB,0B,69.6kB,1
2025-06-27T14:40:49Z,2.33%,9.055MiB,31.29GiB,0.03%,756kB,1.76MB,0B,90.1kB,1
2025-06-27T14:41:00Z,2.42%,9.059MiB,31.29GiB,0.03%,761kB,1.86MB,0B,102kB,1
2025-06-27T14:41:13Z,1.85%,9.059MiB,31.29GiB,0.03%,761kB,1.98MB,0B,111kB,1
2025-06-27T14:41:26Z,2.03%,8.812MiB,31.29GiB,0.03%,761kB,2.09MB,0B,115kB,1
2025-06-27T14:41:38Z,4.47%,9.203MiB,31.29GiB,0.03%,832kB,2.26MB,0B,115kB,1
2025-06-27T14:41:50Z,2.46%,9.129MiB,31.29GiB,0.03%,934kB,2.49MB,0B,123kB,1
2025-06-27T14:42:03Z,2.41%,9.129MiB,31.29GiB,0.03%,938kB,2.59MB,0B,156kB,1
2025-06-27T14:42:16Z,2.15%,9.137MiB,31.29GiB,0.03%,941kB,2.71MB,0B,172kB,1
2025-06-27T14:42:28Z,1.69%,9.137MiB,31.29GiB,0.03%,941kB,2.81MB,0B,176kB,1
2025-06-27T14:42:40Z,1.93%,9.133MiB,31.29GiB,0.03%,941kB,2.92MB,0B,180kB,1
2025-06-27T14:42:53Z,2.71%,9.504MiB,31.29GiB,0.03%,1.01MB,3.1MB,0B,188kB,1
2025-06-27T14:43:06Z,2.54%,9.371MiB,31.29GiB,0.03%,1.07MB,3.26MB,0B,188kB,1
2025-06-27T14:43:18Z,1.96%,9.398MiB,31.29GiB,0.03%,1.09MB,3.38MB,0B,188kB,1
2025-06-27T14:43:30Z,2.13%,9.434MiB,31.29GiB,0.03%,1.11MB,3.49MB,0B,197kB,1
2025-06-27T14:43:43Z,1.98%,9.68MiB,31.29GiB,0.03%,1.11MB,3.61MB,0B,197kB,1
2025-06-27T14:43:56Z,2.45%,9.684MiB,31.29GiB,0.03%,1.11MB,3.72MB,0B,201kB,1
2025-06-27T14:44:08Z,3.00%,11.01MiB,31.29GiB,0.03%,1.16MB,3.88MB,0B,201kB,1
2025-06-27T14:44:20Z,2.03%,10.15MiB,31.29GiB,0.03%,1.23MB,4.05MB,0B,201kB,1
2025-06-27T14:44:33Z,1.52%,9.902MiB,31.29GiB,0.03%,1.23MB,4.16MB,0B,209kB,1
2025-06-27T14:44:46Z,2.45%,9.656MiB,31.29GiB,0.03%,1.23MB,4.27MB,0B,209kB,1
2025-06-27T14:44:58Z,2.02%,9.66MiB,31.29GiB,0.03%,1.23MB,4.37MB,0B,217kB,1
2025-06-27T14:45:10Z,1.94%,9.906MiB,31.29GiB,0.03%,1.23MB,4.48MB,0B,217kB,1
2025-06-27T14:45:23Z,4.06%,9.996MiB,31.29GiB,0.03%,1.29MB,4.64MB,0B,217kB,1
2025-06-27T14:45:36Z,2.11%,9.852MiB,31.29GiB,0.03%,1.35MB,4.8MB,0B,225kB,1
2025-06-27T14:45:48Z,2.13%,9.867MiB,31.29GiB,0.03%,1.35MB,4.91MB,0B,225kB,1
2025-06-27T14:46:00Z,2.89%,9.863MiB,31.29GiB,0.03%,1.35MB,5.02MB,0B,238kB,1
2025-06-27T14:46:13Z,2.44%,9.863MiB,31.29GiB,0.03%,1.35MB,5.13MB,0B,258kB,1
2025-06-27T14:46:26Z,2.37%,9.863MiB,31.29GiB,0.03%,1.35MB,5.24MB,0B,291kB,1
2025-06-27T14:46:38Z,5.32%,10MiB,31.29GiB,0.03%,1.43MB,5.42MB,0B,319kB,1
2025-06-27T14:46:50Z,3.86%,10.09MiB,31.29GiB,0.03%,1.49MB,5.6MB,0B,336kB,1
2025-06-27T14:47:04Z,1.91%,10.14MiB,31.29GiB,0.03%,1.51MB,5.74MB,0B,336kB,1
2025-06-27T14:47:17Z,1.99%,10.14MiB,31.29GiB,0.03%,1.52MB,5.85MB,0B,340kB,1
2025-06-27T14:47:29Z,2.06%,10.14MiB,31.29GiB,0.03%,1.52MB,5.95MB,0B,352kB,1
