Timestamp,CPU_%,Mem_Usage,Mem_Limit,Mem_%,Net_Input,Net_Output,Block_Input,Block_Output,PIDs
2025-06-27T11:48:45Z,2.42%,12.81MiB,31.29GiB,0.04%,7.35kB,31.3kB,7.28MB,0B,1
2025-06-27T11:48:57Z,2.02%,12.67MiB,31.29GiB,0.04%,13.4kB,218kB,7.28MB,0B,1
2025-06-27T11:49:10Z,2.34%,12.67MiB,31.29GiB,0.04%,13.4kB,328kB,7.28MB,20.5kB,1
2025-06-27T11:49:23Z,1.76%,12.67MiB,31.29GiB,0.04%,13.5kB,433kB,7.28MB,24.6kB,1
2025-06-27T11:49:35Z,2.11%,12.67MiB,31.29GiB,0.04%,13.5kB,543kB,7.28MB,32.8kB,1
2025-06-27T11:49:47Z,1.87%,12.67MiB,31.29GiB,0.04%,13.5kB,653kB,7.28MB,41kB,1
2025-06-27T11:50:00Z,12.35%,14.23MiB,31.29GiB,0.04%,473kB,1.22MB,7.28MB,41kB,1
2025-06-27T11:50:12Z,2.24%,13.7MiB,31.29GiB,0.04%,596kB,1.45MB,7.28MB,57.3kB,1
2025-06-27T11:50:25Z,1.91%,13.7MiB,31.29GiB,0.04%,596kB,1.56MB,7.28MB,65.5kB,1
2025-06-27T11:50:37Z,1.99%,13.7MiB,31.29GiB,0.04%,603kB,1.66MB,7.28MB,69.6kB,1
2025-06-27T11:50:50Z,2.00%,13.96MiB,31.29GiB,0.04%,607kB,1.78MB,7.28MB,77.8kB,1
2025-06-27T11:51:02Z,2.17%,13.71MiB,31.29GiB,0.04%,607kB,1.89MB,7.28MB,77.8kB,1
2025-06-27T11:51:15Z,2.11%,13.96MiB,31.29GiB,0.04%,611kB,2MB,7.28MB,81.9kB,1
2025-06-27T11:51:27Z,1.85%,14.43MiB,31.29GiB,0.05%,1.01MB,2.54MB,7.28MB,90.1kB,1
2025-06-27T11:51:40Z,2.11%,14.5MiB,31.29GiB,0.05%,1.05MB,2.68MB,7.28MB,94.2kB,1
2025-06-27T11:51:52Z,2.70%,14.68MiB,31.29GiB,0.05%,1.14MB,2.89MB,7.28MB,94.2kB,1
2025-06-27T11:52:05Z,1.92%,14.99MiB,31.29GiB,0.05%,1.17MB,3.03MB,7.28MB,102kB,1
2025-06-27T11:52:17Z,1.87%,14.74MiB,31.29GiB,0.05%,1.17MB,3.14MB,7.28MB,106kB,1
2025-06-27T11:52:30Z,1.85%,14.75MiB,31.29GiB,0.05%,1.18MB,3.26MB,7.28MB,111kB,1
2025-06-27T11:52:43Z,4.85%,15.38MiB,31.29GiB,0.05%,1.54MB,3.72MB,7.28MB,119kB,1
2025-06-27T11:52:55Z,2.08%,15.45MiB,31.29GiB,0.05%,1.58MB,3.87MB,7.28MB,119kB,1
2025-06-27T11:53:07Z,3.61%,15.57MiB,31.29GiB,0.05%,1.64MB,4.05MB,7.28MB,123kB,1
2025-06-27T11:53:20Z,2.48%,15.82MiB,31.29GiB,0.05%,1.65MB,4.16MB,7.28MB,131kB,1
2025-06-27T11:53:33Z,2.01%,15.57MiB,31.29GiB,0.05%,1.65MB,4.27MB,7.28MB,135kB,1
2025-06-27T11:53:45Z,2.24%,15.57MiB,31.29GiB,0.05%,1.65MB,4.37MB,7.28MB,135kB,1
2025-06-27T11:53:57Z,3.04%,16.49MiB,31.29GiB,0.05%,2.14MB,5MB,7.28MB,143kB,1
2025-06-27T11:54:10Z,3.07%,16.49MiB,31.29GiB,0.05%,2.15MB,5.11MB,7.28MB,147kB,1
2025-06-27T11:54:23Z,6.72%,16.57MiB,31.29GiB,0.05%,2.19MB,5.26MB,7.28MB,168kB,1
2025-06-27T11:54:35Z,2.10%,16.58MiB,31.29GiB,0.05%,2.21MB,5.38MB,7.28MB,193kB,1
2025-06-27T11:54:47Z,3.42%,16.58MiB,31.29GiB,0.05%,2.21MB,5.49MB,7.28MB,217kB,1
2025-06-27T11:55:00Z,2.05%,16.59MiB,31.29GiB,0.05%,2.22MB,5.61MB,7.28MB,229kB,1
2025-06-27T11:55:13Z,3.39%,12.43MiB,31.29GiB,0.04%,2.36MB,5.82MB,7.28MB,614kB,1
2025-06-27T11:55:25Z,2.92%,13.24MiB,31.29GiB,0.04%,2.41MB,5.96MB,7.28MB,614kB,1
2025-06-27T11:55:37Z,2.47%,12.52MiB,31.29GiB,0.04%,2.42MB,6.09MB,7.28MB,627kB,1
2025-06-27T11:55:50Z,2.14%,12.53MiB,31.29GiB,0.04%,2.43MB,6.2MB,7.28MB,635kB,1
2025-06-27T11:56:03Z,2.87%,12.52MiB,31.29GiB,0.04%,2.43MB,6.3MB,7.28MB,659kB,1
2025-06-27T11:56:16Z,2.23%,12.79MiB,31.29GiB,0.04%,2.43MB,6.41MB,7.28MB,659kB,1
2025-06-27T11:56:29Z,5.31%,13.14MiB,31.29GiB,0.04%,2.78MB,6.88MB,7.28MB,688kB,1
2025-06-27T11:56:41Z,4.95%,13.14MiB,31.29GiB,0.04%,2.79MB,7MB,7.28MB,713kB,1
2025-06-27T11:56:55Z,3.40%,13.17MiB,31.29GiB,0.04%,2.81MB,7.12MB,7.28MB,745kB,1
2025-06-27T11:57:09Z,2.19%,13.43MiB,31.29GiB,0.04%,2.82MB,7.26MB,7.28MB,750kB,1
2025-06-27T11:57:22Z,3.29%,13.2MiB,31.29GiB,0.04%,2.82MB,7.36MB,7.28MB,750kB,1
2025-06-27T11:57:34Z,6.08%,14.56MiB,31.29GiB,0.05%,2.9MB,7.54MB,7.28MB,754kB,1
2025-06-27T11:57:46Z,2.21%,14.07MiB,31.29GiB,0.04%,3.17MB,7.92MB,7.28MB,754kB,1
2025-06-27T11:57:59Z,2.54%,13.82MiB,31.29GiB,0.04%,3.17MB,8.03MB,7.28MB,762kB,1
2025-06-27T11:58:12Z,2.02%,13.83MiB,31.29GiB,0.04%,3.19MB,8.14MB,7.28MB,762kB,1
2025-06-27T11:58:24Z,1.81%,13.84MiB,31.29GiB,0.04%,3.19MB,8.25MB,7.28MB,766kB,1
2025-06-27T11:58:36Z,1.83%,13.84MiB,31.29GiB,0.04%,3.19MB,8.36MB,7.28MB,774kB,1
