Timestamp,CPU_%,Mem_Usage,Mem_Limit,Mem_%,Net_Input,Net_Output,Block_Input,Block_Output,PIDs
2025-06-27T12:19:17Z,2.12%,7.531MiB,31.29GiB,0.02%,50.3kB,156kB,0B,0B,1
2025-06-27T12:19:30Z,2.35%,7.535MiB,31.29GiB,0.02%,50.3kB,266kB,0B,20.5kB,1
2025-06-27T12:19:43Z,3.90%,7.535MiB,31.29GiB,0.02%,50.3kB,372kB,0B,20.5kB,1
2025-06-27T12:19:55Z,1.89%,7.785MiB,31.29GiB,0.02%,50.3kB,482kB,0B,24.6kB,1
2025-06-27T12:20:07Z,2.41%,7.539MiB,31.29GiB,0.02%,50.3kB,592kB,0B,32.8kB,1
2025-06-27T12:20:20Z,2.05%,7.535MiB,31.29GiB,0.02%,50.3kB,702kB,0B,36.9kB,1
2025-06-27T12:20:33Z,1.91%,8.426MiB,31.29GiB,0.03%,548kB,1.29MB,0B,49.2kB,1
2025-06-27T12:20:45Z,1.89%,8.551MiB,31.29GiB,0.03%,616kB,1.47MB,0B,49.2kB,1
2025-06-27T12:20:57Z,2.07%,8.562MiB,31.29GiB,0.03%,617kB,1.59MB,0B,61.4kB,1
2025-06-27T12:21:10Z,1.99%,8.57MiB,31.29GiB,0.03%,629kB,1.7MB,0B,69.6kB,1
2025-06-27T12:21:23Z,1.75%,8.574MiB,31.29GiB,0.03%,631kB,1.8MB,0B,73.7kB,1
2025-06-27T12:21:35Z,2.17%,8.574MiB,31.29GiB,0.03%,631kB,1.91MB,0B,77.8kB,1
2025-06-27T12:21:47Z,2.75%,9.57MiB,31.29GiB,0.03%,1.04MB,2.44MB,0B,77.8kB,1
2025-06-27T12:22:00Z,1.97%,9.754MiB,31.29GiB,0.03%,1.14MB,2.67MB,0B,86kB,1
2025-06-27T12:22:13Z,1.93%,9.512MiB,31.29GiB,0.03%,1.14MB,2.77MB,0B,90.1kB,1
2025-06-27T12:22:25Z,1.96%,9.895MiB,31.29GiB,0.03%,1.21MB,2.96MB,0B,98.3kB,1
2025-06-27T12:22:37Z,1.88%,9.648MiB,31.29GiB,0.03%,1.21MB,3.07MB,0B,98.3kB,1
2025-06-27T12:22:50Z,1.83%,9.648MiB,31.29GiB,0.03%,1.21MB,3.18MB,0B,102kB,1
2025-06-27T12:23:03Z,2.30%,10.12MiB,31.29GiB,0.03%,1.5MB,3.55MB,0B,106kB,1
2025-06-27T12:23:15Z,2.05%,10.3MiB,31.29GiB,0.03%,1.6MB,3.74MB,0B,115kB,1
2025-06-27T12:23:27Z,2.29%,10.31MiB,31.29GiB,0.03%,1.6MB,3.85MB,0B,119kB,1
2025-06-27T12:23:40Z,1.93%,10.62MiB,31.29GiB,0.03%,1.64MB,4MB,0B,119kB,1
2025-06-27T12:23:53Z,1.94%,10.37MiB,31.29GiB,0.03%,1.64MB,4.11MB,0B,127kB,1
2025-06-27T12:24:05Z,1.78%,10.38MiB,31.29GiB,0.03%,1.64MB,4.22MB,0B,131kB,1
2025-06-27T12:24:17Z,4.42%,11.11MiB,31.29GiB,0.03%,1.92MB,4.62MB,0B,139kB,1
2025-06-27T12:24:30Z,1.87%,11.34MiB,31.29GiB,0.04%,2.15MB,5.03MB,0B,143kB,1
2025-06-27T12:24:43Z,2.69%,11.34MiB,31.29GiB,0.04%,2.16MB,5.13MB,0B,143kB,1
2025-06-27T12:24:55Z,2.14%,11.41MiB,31.29GiB,0.04%,2.2MB,5.27MB,0B,152kB,1
2025-06-27T12:25:07Z,1.73%,11.41MiB,31.29GiB,0.04%,2.2MB,5.38MB,0B,160kB,1
2025-06-27T12:25:20Z,1.72%,11.41MiB,31.29GiB,0.04%,2.2MB,5.49MB,0B,164kB,1
2025-06-27T12:25:33Z,4.62%,12MiB,31.29GiB,0.04%,2.3MB,5.63MB,0B,164kB,1
2025-06-27T12:25:45Z,2.60%,7.465MiB,31.29GiB,0.02%,2.49MB,5.93MB,0B,532kB,1
2025-06-27T12:25:57Z,2.10%,7.547MiB,31.29GiB,0.02%,2.54MB,6.08MB,0B,549kB,1
2025-06-27T12:26:10Z,2.04%,7.555MiB,31.29GiB,0.02%,2.55MB,6.19MB,0B,553kB,1
2025-06-27T12:26:23Z,2.23%,8.059MiB,31.29GiB,0.03%,2.55MB,6.3MB,0B,561kB,1
2025-06-27T12:26:35Z,2.00%,7.559MiB,31.29GiB,0.02%,2.55MB,6.41MB,0B,561kB,1
2025-06-27T12:26:47Z,3.12%,8.375MiB,31.29GiB,0.03%,2.61MB,6.56MB,0B,565kB,1
2025-06-27T12:27:00Z,2.04%,8.938MiB,31.29GiB,0.03%,3.04MB,7.15MB,0B,573kB,1
2025-06-27T12:27:13Z,2.35%,8.695MiB,31.29GiB,0.03%,3.04MB,7.25MB,0B,573kB,1
2025-06-27T12:27:25Z,2.21%,8.535MiB,31.29GiB,0.03%,3.1MB,7.42MB,0B,573kB,1
2025-06-27T12:27:37Z,2.22%,8.547MiB,31.29GiB,0.03%,3.11MB,7.53MB,0B,578kB,1
2025-06-27T12:27:50Z,6.03%,8.789MiB,31.29GiB,0.03%,3.11MB,7.64MB,0B,578kB,1
2025-06-27T12:28:03Z,2.25%,8.715MiB,31.29GiB,0.03%,3.21MB,7.84MB,0B,586kB,1
2025-06-27T12:28:15Z,2.38%,9.172MiB,31.29GiB,0.03%,3.47MB,8.2MB,0B,586kB,1
2025-06-27T12:28:27Z,1.89%,9.172MiB,31.29GiB,0.03%,3.47MB,8.31MB,0B,586kB,1
2025-06-27T12:28:40Z,1.89%,9.195MiB,31.29GiB,0.03%,3.49MB,8.42MB,0B,594kB,1
2025-06-27T12:28:53Z,2.10%,9.199MiB,31.29GiB,0.03%,3.49MB,8.53MB,0B,594kB,1
2025-06-27T12:29:05Z,2.06%,9.199MiB,31.29GiB,0.03%,3.49MB,8.64MB,0B,602kB,1
2025-06-27T12:29:17Z,2.86%,9.527MiB,31.29GiB,0.03%,3.55MB,8.79MB,0B,606kB,1
2025-06-27T12:29:30Z,4.60%,10.8MiB,31.29GiB,0.03%,3.85MB,9.21MB,0B,614kB,1
2025-06-27T12:29:43Z,1.90%,9.848MiB,31.29GiB,0.03%,3.87MB,9.33MB,0B,614kB,1
2025-06-27T12:29:55Z,2.28%,9.988MiB,31.29GiB,0.03%,3.95MB,9.52MB,0B,614kB,1
2025-06-27T12:30:07Z,1.91%,10.11MiB,31.29GiB,0.03%,3.95MB,9.63MB,0B,623kB,1
2025-06-27T12:30:20Z,1.90%,10.11MiB,31.29GiB,0.03%,3.95MB,9.74MB,0B,623kB,1
2025-06-27T12:30:33Z,2.02%,10.16MiB,31.29GiB,0.03%,3.99MB,9.85MB,0B,627kB,1
2025-06-27T12:30:45Z,3.58%,10.76MiB,31.29GiB,0.03%,4.32MB,10.3MB,0B,627kB,1
2025-06-27T12:30:57Z,2.04%,10.76MiB,31.29GiB,0.03%,4.33MB,10.4MB,0B,627kB,1
2025-06-27T12:31:10Z,1.95%,11.07MiB,31.29GiB,0.03%,4.36MB,10.5MB,0B,635kB,1
2025-06-27T12:31:23Z,2.19%,11.08MiB,31.29GiB,0.03%,4.37MB,10.6MB,0B,635kB,1
2025-06-27T12:31:35Z,2.14%,10.83MiB,31.29GiB,0.03%,4.37MB,10.7MB,0B,643kB,1
2025-06-27T12:31:47Z,2.40%,10.91MiB,31.29GiB,0.03%,4.43MB,10.9MB,0B,643kB,1
2025-06-27T12:32:00Z,1.88%,11.38MiB,31.29GiB,0.04%,4.68MB,11.2MB,0B,643kB,1
2025-06-27T12:32:13Z,1.73%,11.4MiB,31.29GiB,0.04%,4.68MB,11.4MB,0B,651kB,1
2025-06-27T12:32:25Z,1.92%,7.246MiB,31.29GiB,0.02%,4.69MB,11.5MB,0B,651kB,1
2025-06-27T12:32:37Z,2.08%,6.852MiB,31.29GiB,0.02%,4.7MB,11.6MB,0B,987kB,1
2025-06-27T12:32:50Z,1.76%,6.867MiB,31.29GiB,0.02%,4.7MB,11.7MB,0B,987kB,1
2025-06-27T12:33:03Z,2.86%,6.879MiB,31.29GiB,0.02%,4.73MB,11.8MB,0B,1.02MB,1
2025-06-27T12:33:15Z,2.81%,7.238MiB,31.29GiB,0.02%,4.94MB,12.1MB,0B,1.03MB,1
2025-06-27T12:33:27Z,1.95%,7.758MiB,31.29GiB,0.02%,4.95MB,12.3MB,0B,1.04MB,1
2025-06-27T12:33:40Z,1.98%,7.34MiB,31.29GiB,0.02%,5MB,12.4MB,0B,1.04MB,1
2025-06-27T12:33:53Z,1.86%,7.348MiB,31.29GiB,0.02%,5.01MB,12.5MB,0B,1.04MB,1
2025-06-27T12:34:05Z,2.09%,7.348MiB,31.29GiB,0.02%,5.01MB,12.6MB,0B,1.04MB,1
2025-06-27T12:34:17Z,2.26%,7.395MiB,31.29GiB,0.02%,5.05MB,12.7MB,0B,1.05MB,1
2025-06-27T12:34:30Z,2.95%,7.934MiB,31.29GiB,0.02%,5.21MB,13MB,0B,1.05MB,1
2025-06-27T12:34:43Z,1.97%,7.707MiB,31.29GiB,0.02%,5.23MB,13.1MB,0B,1.06MB,1
2025-06-27T12:34:55Z,2.34%,8.016MiB,31.29GiB,0.03%,5.27MB,13.3MB,0B,1.06MB,1
2025-06-27T12:35:08Z,2.07%,7.781MiB,31.29GiB,0.02%,5.28MB,13.4MB,0B,1.06MB,1
2025-06-27T12:35:20Z,2.07%,7.777MiB,31.29GiB,0.02%,5.28MB,13.5MB,0B,1.07MB,1
2025-06-27T12:35:33Z,2.36%,8.305MiB,31.29GiB,0.03%,5.31MB,13.6MB,0B,1.08MB,1
2025-06-27T12:35:45Z,2.19%,8.07MiB,31.29GiB,0.03%,5.46MB,13.8MB,0B,1.08MB,1
2025-06-27T12:35:56Z,1.86%,8.094MiB,31.29GiB,0.03%,5.48MB,13.9MB,0B,1.08MB,1
2025-06-27T12:36:09Z,2.50%,8.152MiB,31.29GiB,0.03%,5.52MB,14.1MB,0B,1.08MB,1
2025-06-27T12:36:22Z,2.08%,8.184MiB,31.29GiB,0.03%,5.53MB,14.2MB,0B,1.09MB,1
2025-06-27T12:36:34Z,2.00%,8.176MiB,31.29GiB,0.03%,5.53MB,14.3MB,0B,1.09MB,1
2025-06-27T12:36:46Z,2.21%,8.707MiB,31.29GiB,0.03%,5.56MB,14.4MB,0B,1.1MB,1
2025-06-27T12:36:59Z,2.53%,8.77MiB,31.29GiB,0.03%,5.74MB,14.7MB,0B,1.1MB,1
2025-06-27T12:37:12Z,2.16%,8.555MiB,31.29GiB,0.03%,5.77MB,14.8MB,0B,1.1MB,1
2025-06-27T12:37:24Z,1.83%,8.609MiB,31.29GiB,0.03%,5.8MB,15MB,0B,1.11MB,1
2025-06-27T12:37:36Z,1.85%,8.855MiB,31.29GiB,0.03%,5.8MB,15.1MB,0B,1.11MB,1
2025-06-27T12:37:49Z,2.05%,8.605MiB,31.29GiB,0.03%,5.8MB,15.2MB,0B,1.12MB,1
2025-06-27T12:38:02Z,2.57%,8.641MiB,31.29GiB,0.03%,5.83MB,15.3MB,0B,1.12MB,1
2025-06-27T12:38:14Z,2.33%,9.137MiB,31.29GiB,0.03%,5.98MB,15.5MB,0B,1.12MB,1
2025-06-27T12:38:26Z,1.96%,9.41MiB,31.29GiB,0.03%,6MB,15.6MB,0B,1.12MB,1
2025-06-27T12:38:39Z,2.04%,8.949MiB,31.29GiB,0.03%,6.03MB,15.8MB,0B,1.12MB,1
2025-06-27T12:38:52Z,1.64%,9.199MiB,31.29GiB,0.03%,6.03MB,15.9MB,0B,1.13MB,1
2025-06-27T12:39:04Z,1.91%,8.957MiB,31.29GiB,0.03%,6.03MB,16MB,0B,1.13MB,1
2025-06-27T12:39:16Z,2.50%,9.488MiB,31.29GiB,0.03%,6.07MB,16.1MB,0B,1.13MB,1
2025-06-27T12:39:29Z,2.24%,9.527MiB,31.29GiB,0.03%,6.24MB,16.4MB,0B,1.14MB,1
2025-06-27T12:39:42Z,1.99%,9.312MiB,31.29GiB,0.03%,6.25MB,16.5MB,0B,1.14MB,1
2025-06-27T12:39:54Z,2.01%,9.348MiB,31.29GiB,0.03%,6.28MB,16.6MB,0B,1.15MB,1
2025-06-27T12:40:06Z,2.11%,9.363MiB,31.29GiB,0.03%,6.29MB,16.7MB,0B,1.15MB,1
2025-06-27T12:40:19Z,1.81%,9.359MiB,31.29GiB,0.03%,6.29MB,16.8MB,0B,1.15MB,1
2025-06-27T12:40:32Z,2.44%,9.395MiB,31.29GiB,0.03%,6.33MB,16.9MB,0B,1.16MB,1
2025-06-27T12:40:44Z,3.90%,9.672MiB,31.29GiB,0.03%,6.49MB,17.2MB,0B,1.16MB,1
2025-06-27T12:40:56Z,1.98%,9.699MiB,31.29GiB,0.03%,6.51MB,17.3MB,0B,1.16MB,1
2025-06-27T12:41:09Z,2.62%,9.746MiB,31.29GiB,0.03%,6.54MB,17.5MB,0B,1.16MB,1
2025-06-27T12:41:22Z,2.10%,9.754MiB,31.29GiB,0.03%,6.55MB,17.6MB,0B,1.16MB,1
2025-06-27T12:41:34Z,2.08%,9.754MiB,31.29GiB,0.03%,6.55MB,17.7MB,0B,1.17MB,1
2025-06-27T12:41:47Z,2.10%,9.801MiB,31.29GiB,0.03%,6.59MB,17.8MB,0B,1.17MB,1
2025-06-27T12:41:59Z,2.16%,6.27MiB,31.29GiB,0.02%,6.66MB,17.9MB,0B,1.18MB,1
2025-06-27T12:42:12Z,3.09%,6.512MiB,31.29GiB,0.02%,6.69MB,18.1MB,0B,1.18MB,1
2025-06-27T12:42:24Z,2.22%,6.594MiB,31.29GiB,0.02%,6.74MB,18.2MB,0B,1.18MB,1
2025-06-27T12:42:37Z,2.29%,7.102MiB,31.29GiB,0.02%,6.75MB,18.3MB,0B,1.51MB,1
2025-06-27T12:42:49Z,1.99%,6.605MiB,31.29GiB,0.02%,6.75MB,18.4MB,0B,1.54MB,1
2025-06-27T12:43:02Z,2.09%,6.609MiB,31.29GiB,0.02%,6.77MB,18.5MB,0B,1.55MB,1
2025-06-27T12:43:14Z,2.81%,6.895MiB,31.29GiB,0.02%,6.93MB,18.8MB,0B,1.56MB,1
2025-06-27T12:43:27Z,2.53%,7.195MiB,31.29GiB,0.02%,6.97MB,18.9MB,0B,1.56MB,1
2025-06-27T12:43:39Z,2.34%,7.012MiB,31.29GiB,0.02%,7.01MB,19.1MB,0B,1.56MB,1
2025-06-27T12:43:52Z,2.74%,7.027MiB,31.29GiB,0.02%,7.02MB,19.2MB,0B,1.57MB,1
2025-06-27T12:44:04Z,1.74%,7.031MiB,31.29GiB,0.02%,7.02MB,19.3MB,0B,1.57MB,1
2025-06-27T12:44:17Z,2.66%,7.09MiB,31.29GiB,0.02%,7.06MB,19.4MB,0B,1.58MB,1
2025-06-27T12:44:29Z,2.66%,7.547MiB,31.29GiB,0.02%,7.18MB,19.6MB,0B,1.59MB,1
2025-06-27T12:44:42Z,2.54%,7.32MiB,31.29GiB,0.02%,7.21MB,19.8MB,0B,1.59MB,1
2025-06-27T12:44:54Z,2.11%,7.371MiB,31.29GiB,0.02%,7.24MB,19.9MB,0B,1.59MB,1
2025-06-27T12:45:07Z,2.23%,7.621MiB,31.29GiB,0.02%,7.25MB,20MB,0B,1.6MB,1
2025-06-27T12:45:19Z,2.24%,7.621MiB,31.29GiB,0.02%,7.25MB,20.1MB,0B,1.6MB,1
2025-06-27T12:45:32Z,2.81%,7.406MiB,31.29GiB,0.02%,7.27MB,20.2MB,0B,1.61MB,1
2025-06-27T12:45:44Z,2.38%,7.602MiB,31.29GiB,0.02%,7.4MB,20.4MB,0B,1.61MB,1
2025-06-27T12:45:57Z,2.35%,7.629MiB,31.29GiB,0.02%,7.42MB,20.5MB,0B,1.61MB,1
2025-06-27T12:46:09Z,2.25%,7.922MiB,31.29GiB,0.02%,7.45MB,20.7MB,0B,1.62MB,1
2025-06-27T12:46:22Z,2.47%,7.691MiB,31.29GiB,0.02%,7.46MB,20.8MB,0B,1.63MB,1
2025-06-27T12:46:34Z,2.15%,7.691MiB,31.29GiB,0.02%,7.46MB,20.9MB,0B,1.63MB,1
2025-06-27T12:46:47Z,3.74%,7.723MiB,31.29GiB,0.02%,7.49MB,21MB,0B,1.63MB,1
2025-06-27T12:46:59Z,2.14%,8.656MiB,31.29GiB,0.03%,7.61MB,21.2MB,0B,1.64MB,1
2025-06-27T12:47:12Z,2.17%,7.941MiB,31.29GiB,0.02%,7.63MB,21.3MB,0B,1.64MB,1
2025-06-27T12:47:24Z,1.95%,7.977MiB,31.29GiB,0.02%,7.66MB,21.4MB,0B,1.65MB,1
2025-06-27T12:47:37Z,2.00%,8.242MiB,31.29GiB,0.03%,7.66MB,21.6MB,0B,1.66MB,1
2025-06-27T12:47:49Z,2.17%,7.988MiB,31.29GiB,0.02%,7.67MB,21.7MB,0B,1.67MB,1
2025-06-27T12:48:02Z,2.26%,8.008MiB,31.29GiB,0.02%,7.69MB,21.8MB,0B,1.67MB,1
2025-06-27T12:48:14Z,2.19%,8.18MiB,31.29GiB,0.03%,7.8MB,22MB,0B,1.67MB,1
2025-06-27T12:48:27Z,3.22%,8.957MiB,31.29GiB,0.03%,7.82MB,22.1MB,0B,1.67MB,1
2025-06-27T12:48:39Z,2.08%,8.754MiB,31.29GiB,0.03%,7.85MB,22.2MB,0B,1.68MB,1
2025-06-27T12:48:52Z,1.97%,8.512MiB,31.29GiB,0.03%,7.86MB,22.3MB,0B,1.69MB,1
2025-06-27T12:49:04Z,1.94%,8.266MiB,31.29GiB,0.03%,7.86MB,22.4MB,0B,1.69MB,1
2025-06-27T12:49:17Z,2.52%,8.297MiB,31.29GiB,0.03%,7.89MB,22.6MB,0B,1.69MB,1
2025-06-27T12:49:29Z,2.72%,8.453MiB,31.29GiB,0.03%,7.99MB,22.7MB,0B,1.7MB,1
2025-06-27T12:49:42Z,2.02%,8.473MiB,31.29GiB,0.03%,8.01MB,22.9MB,0B,1.7MB,1
2025-06-27T12:49:54Z,2.48%,8.512MiB,31.29GiB,0.03%,8.04MB,23MB,0B,1.71MB,1
2025-06-27T12:50:07Z,2.02%,8.527MiB,31.29GiB,0.03%,8.05MB,23.1MB,0B,1.71MB,1
2025-06-27T12:50:19Z,1.92%,8.527MiB,31.29GiB,0.03%,8.05MB,23.2MB,0B,1.71MB,1
2025-06-27T12:50:32Z,2.36%,8.559MiB,31.29GiB,0.03%,8.08MB,23.3MB,0B,1.72MB,1
2025-06-27T12:50:44Z,2.58%,8.738MiB,31.29GiB,0.03%,8.2MB,23.5MB,0B,1.72MB,1
2025-06-27T12:50:57Z,2.15%,9.008MiB,31.29GiB,0.03%,8.22MB,23.6MB,0B,1.73MB,1
2025-06-27T12:51:09Z,2.31%,8.812MiB,31.29GiB,0.03%,8.25MB,23.8MB,0B,1.73MB,1
2025-06-27T12:51:22Z,2.04%,8.82MiB,31.29GiB,0.03%,8.26MB,23.9MB,0B,1.73MB,1
2025-06-27T12:51:34Z,1.96%,8.82MiB,31.29GiB,0.03%,8.26MB,24MB,0B,1.74MB,1
2025-06-27T12:51:47Z,2.40%,8.859MiB,31.29GiB,0.03%,8.29MB,24.1MB,0B,1.74MB,1
