Timestamp,CPU_%,Mem_Usage,Mem_Limit,Mem_%,Net_Input,Net_Output,Block_Input,Block_Output,PIDs
2025-06-27T12:05:15Z,16.27%,8.164MiB,31.29GiB,0.03%,25.4kB,62.6kB,0B,0B,1
2025-06-27T12:05:29Z,2.39%,7.516MiB,31.29GiB,0.02%,48.4kB,212kB,0B,0B,1
2025-06-27T12:05:41Z,3.51%,7.512MiB,31.29GiB,0.02%,48.4kB,330kB,0B,20.5kB,1
2025-06-27T12:05:54Z,1.94%,7.516MiB,31.29GiB,0.02%,48.4kB,441kB,0B,24.6kB,1
2025-06-27T12:06:06Z,2.36%,7.766MiB,31.29GiB,0.02%,48.4kB,551kB,0B,36.9kB,1
2025-06-27T12:06:19Z,6.06%,7.512MiB,31.29GiB,0.02%,48.5kB,661kB,0B,45.1kB,1
2025-06-27T12:06:32Z,10.04%,8.617MiB,31.29GiB,0.03%,396kB,1.11MB,0B,45.1kB,1
2025-06-27T12:06:44Z,2.04%,8.531MiB,31.29GiB,0.03%,613kB,1.43MB,0B,61.4kB,1
2025-06-27T12:06:56Z,2.33%,8.781MiB,31.29GiB,0.03%,613kB,1.54MB,0B,69.6kB,1
2025-06-27T12:07:09Z,4.51%,8.57MiB,31.29GiB,0.03%,634kB,1.66MB,0B,90.1kB,1
2025-06-27T12:07:23Z,2.10%,8.578MiB,31.29GiB,0.03%,638kB,1.78MB,0B,102kB,1
2025-06-27T12:07:35Z,3.89%,8.578MiB,31.29GiB,0.03%,638kB,1.89MB,0B,123kB,1
2025-06-27T12:07:47Z,4.15%,9.523MiB,31.29GiB,0.03%,881kB,2.24MB,0B,123kB,1
2025-06-27T12:08:00Z,1.85%,9.469MiB,31.29GiB,0.03%,1.12MB,2.62MB,0B,135kB,1
2025-06-27T12:08:13Z,1.98%,9.473MiB,31.29GiB,0.03%,1.13MB,2.73MB,0B,139kB,1
2025-06-27T12:08:25Z,2.85%,9.527MiB,31.29GiB,0.03%,1.16MB,2.85MB,0B,147kB,1
2025-06-27T12:08:38Z,1.76%,9.539MiB,31.29GiB,0.03%,1.17MB,2.97MB,0B,147kB,1
2025-06-27T12:08:50Z,2.68%,9.539MiB,31.29GiB,0.03%,1.17MB,3.08MB,0B,152kB,1
2025-06-27T12:09:03Z,5.25%,9.641MiB,31.29GiB,0.03%,1.24MB,3.24MB,0B,164kB,1
2025-06-27T12:09:15Z,2.73%,10.01MiB,31.29GiB,0.03%,1.33MB,3.4MB,0B,180kB,1
