Timestamp,CPU_%,Mem_Usage,Mem_Limit,Mem_%,Net_Input,Net_Output,Block_Input,Block_Output,PIDs
2025-06-27T14:19:01Z,2.12%,7.57MiB,31.29GiB,0.02%,956B,29.9kB,0B,0B,1
2025-06-27T14:19:14Z,7.88%,7.648MiB,31.29GiB,0.02%,956B,140kB,0B,20.5kB,1
2025-06-27T14:19:27Z,3.34%,7.398MiB,31.29GiB,0.02%,956B,250kB,0B,20.5kB,1
2025-06-27T14:19:39Z,3.93%,7.402MiB,31.29GiB,0.02%,1.33kB,351kB,0B,36.9kB,1
2025-06-27T14:19:52Z,4.64%,7.672MiB,31.29GiB,0.02%,127kB,637kB,0B,45.1kB,1
2025-06-27T14:20:04Z,2.49%,7.719MiB,31.29GiB,0.02%,157kB,774kB,0B,45.1kB,1
2025-06-27T14:20:17Z,1.77%,7.969MiB,31.29GiB,0.02%,161kB,888kB,0B,73.7kB,1
2025-06-27T14:20:30Z,1.78%,7.727MiB,31.29GiB,0.02%,161kB,1.01MB,0B,81.9kB,1
2025-06-27T14:20:42Z,2.29%,7.719MiB,31.29GiB,0.02%,161kB,1.11MB,0B,90.1kB,1
2025-06-27T14:20:54Z,2.01%,7.719MiB,31.29GiB,0.02%,161kB,1.22MB,0B,94.2kB,1
2025-06-27T14:21:07Z,2.85%,7.797MiB,31.29GiB,0.02%,219kB,1.37MB,0B,106kB,1
2025-06-27T14:21:19Z,3.00%,8.242MiB,31.29GiB,0.03%,315kB,1.61MB,0B,119kB,1
2025-06-27T14:21:32Z,3.66%,7.992MiB,31.29GiB,0.02%,316kB,1.71MB,0B,156kB,1
2025-06-27T14:21:44Z,1.78%,8.004MiB,31.29GiB,0.02%,322kB,1.83MB,0B,156kB,1
2025-06-27T14:21:57Z,1.66%,8.004MiB,31.29GiB,0.02%,322kB,1.94MB,0B,160kB,1
2025-06-27T14:22:09Z,2.20%,8.008MiB,31.29GiB,0.02%,322kB,2.04MB,0B,164kB,1
2025-06-27T14:22:22Z,7.53%,8.098MiB,31.29GiB,0.03%,378kB,2.22MB,0B,180kB,1
2025-06-27T14:22:34Z,3.04%,8.188MiB,31.29GiB,0.03%,425kB,2.39MB,0B,209kB,1
2025-06-27T14:22:48Z,2.20%,8.191MiB,31.29GiB,0.03%,429kB,2.51MB,0B,242kB,1
2025-06-27T14:23:00Z,1.89%,8.227MiB,31.29GiB,0.03%,445kB,2.63MB,0B,250kB,1
2025-06-27T14:23:13Z,2.11%,8.219MiB,31.29GiB,0.03%,445kB,2.74MB,0B,258kB,1
2025-06-27T14:23:25Z,2.76%,8.219MiB,31.29GiB,0.03%,445kB,2.84MB,0B,258kB,1
