Timestamp,CPU_%,Mem_Usage,Mem_Limit,Mem_%,Net_Input,Net_Output,Block_Input,Block_Output,PIDs
2025-06-27T14:29:04Z,8.19%,7.395MiB,31.29GiB,0.02%,7.55kB,107kB,0B,0B,1
2025-06-27T14:29:16Z,6.16%,8.105MiB,31.29GiB,0.03%,357kB,597kB,0B,24.6kB,1
2025-06-27T14:29:28Z,2.51%,8.371MiB,31.29GiB,0.03%,368kB,710kB,0B,45.1kB,1
2025-06-27T14:29:41Z,2.22%,8.125MiB,31.29GiB,0.03%,368kB,820kB,0B,53.2kB,1
2025-06-27T14:29:54Z,6.08%,8.117MiB,31.29GiB,0.03%,368kB,930kB,0B,61.4kB,1
2025-06-27T14:30:06Z,2.60%,8.117MiB,31.29GiB,0.03%,368kB,1.03MB,0B,77.8kB,1
2025-06-27T14:30:18Z,1.94%,8.383MiB,31.29GiB,0.03%,384kB,1.14MB,0B,77.8kB,1
2025-06-27T14:30:31Z,1.89%,8.621MiB,31.29GiB,0.03%,545kB,1.39MB,0B,86kB,1
2025-06-27T14:30:43Z,2.59%,8.391MiB,31.29GiB,0.03%,560kB,1.51MB,0B,90.1kB,1
2025-06-27T14:30:56Z,1.64%,8.391MiB,31.29GiB,0.03%,560kB,1.61MB,0B,98.3kB,1
2025-06-27T14:31:08Z,1.62%,8.395MiB,31.29GiB,0.03%,560kB,1.72MB,0B,102kB,1
2025-06-27T14:31:21Z,2.28%,8.391MiB,31.29GiB,0.03%,560kB,1.83MB,0B,102kB,1
2025-06-27T14:31:33Z,2.08%,8.41MiB,31.29GiB,0.03%,574kB,1.95MB,0B,111kB,1
2025-06-27T14:31:46Z,2.07%,8.887MiB,31.29GiB,0.03%,711kB,2.2MB,0B,115kB,1
2025-06-27T14:31:58Z,1.84%,8.668MiB,31.29GiB,0.03%,726kB,2.32MB,0B,119kB,1
2025-06-27T14:32:11Z,2.11%,8.668MiB,31.29GiB,0.03%,726kB,2.43MB,0B,119kB,1
2025-06-27T14:32:23Z,2.36%,9.164MiB,31.29GiB,0.03%,726kB,2.54MB,0B,127kB,1
2025-06-27T14:32:36Z,2.12%,8.672MiB,31.29GiB,0.03%,726kB,2.65MB,0B,131kB,1
2025-06-27T14:32:48Z,2.08%,8.676MiB,31.29GiB,0.03%,736kB,2.76MB,0B,139kB,1
2025-06-27T14:33:01Z,1.80%,9.098MiB,31.29GiB,0.03%,962kB,3.09MB,0B,143kB,1
2025-06-27T14:33:13Z,2.21%,9.113MiB,31.29GiB,0.03%,974kB,3.2MB,0B,143kB,1
2025-06-27T14:33:26Z,2.19%,9.117MiB,31.29GiB,0.03%,974kB,3.31MB,0B,147kB,1
2025-06-27T14:33:38Z,2.72%,9.359MiB,31.29GiB,0.03%,974kB,3.42MB,0B,168kB,1
2025-06-27T14:33:52Z,5.87%,9.113MiB,31.29GiB,0.03%,974kB,3.54MB,0B,176kB,1
2025-06-27T14:34:05Z,2.81%,9.125MiB,31.29GiB,0.03%,985kB,3.65MB,0B,201kB,1
2025-06-27T14:34:17Z,2.38%,9.734MiB,31.29GiB,0.03%,1.18MB,3.98MB,0B,221kB,1
2025-06-27T14:34:30Z,3.22%,9.516MiB,31.29GiB,0.03%,1.2MB,4.1MB,0B,229kB,1
2025-06-27T14:34:44Z,3.35%,9.52MiB,31.29GiB,0.03%,1.2MB,4.23MB,0B,254kB,1
2025-06-27T14:34:57Z,1.98%,9.766MiB,31.29GiB,0.03%,1.2MB,4.35MB,0B,279kB,1
2025-06-27T14:35:10Z,1.78%,9.523MiB,31.29GiB,0.03%,1.21MB,4.46MB,0B,279kB,1
2025-06-27T14:35:22Z,4.19%,10.16MiB,31.29GiB,0.03%,1.28MB,4.64MB,0B,287kB,1
2025-06-27T14:35:35Z,2.53%,10.42MiB,31.29GiB,0.03%,1.43MB,4.89MB,0B,299kB,1
