Timestamp,CPU_%,Mem_Usage,Mem_Limit,Mem_%,Net_Input,Net_Output,Block_Input,Block_Output,PIDs
2025-06-27T13:46:36Z,2.77%,7.488MiB,31.29GiB,0.02%,13.7kB,107kB,0B,0B,1
2025-06-27T13:46:48Z,2.15%,7.738MiB,31.29GiB,0.02%,13.7kB,217kB,0B,20.5kB,1
2025-06-27T13:47:00Z,2.24%,7.738MiB,31.29GiB,0.02%,13.7kB,327kB,0B,20.5kB,1
2025-06-27T13:47:13Z,2.13%,7.734MiB,31.29GiB,0.02%,13.7kB,437kB,0B,24.6kB,1
2025-06-27T13:47:25Z,1.89%,7.734MiB,31.29GiB,0.02%,13.7kB,542kB,0B,32.8kB,1
2025-06-27T13:47:38Z,2.15%,7.488MiB,31.29GiB,0.02%,13.7kB,652kB,0B,41kB,1
2025-06-27T13:47:50Z,1.93%,8.426MiB,31.29GiB,0.03%,555kB,1.3MB,0B,57.3kB,1
2025-06-27T13:48:03Z,1.99%,8.516MiB,31.29GiB,0.03%,597kB,1.46MB,0B,57.3kB,1
2025-06-27T13:48:16Z,1.84%,8.516MiB,31.29GiB,0.03%,598kB,1.57MB,0B,61.4kB,1
2025-06-27T13:48:28Z,3.16%,8.816MiB,31.29GiB,0.03%,636kB,1.7MB,0B,69.6kB,1
2025-06-27T13:48:40Z,2.02%,8.832MiB,31.29GiB,0.03%,639kB,1.81MB,0B,73.7kB,1
2025-06-27T13:48:53Z,1.81%,8.578MiB,31.29GiB,0.03%,639kB,1.92MB,0B,73.7kB,1
2025-06-27T13:49:05Z,3.33%,9.359MiB,31.29GiB,0.03%,924kB,2.32MB,0B,77.8kB,1
2025-06-27T13:49:18Z,2.27%,9.48MiB,31.29GiB,0.03%,1.13MB,2.66MB,0B,86kB,1
2025-06-27T13:49:30Z,1.83%,9.484MiB,31.29GiB,0.03%,1.13MB,2.77MB,0B,90.1kB,1
2025-06-27T13:49:43Z,2.35%,10.14MiB,31.29GiB,0.03%,1.22MB,2.97MB,0B,98.3kB,1
2025-06-27T13:49:56Z,2.12%,9.648MiB,31.29GiB,0.03%,1.22MB,3.07MB,0B,98.3kB,1
2025-06-27T13:50:08Z,2.00%,9.648MiB,31.29GiB,0.03%,1.22MB,3.18MB,0B,102kB,1
2025-06-27T13:50:20Z,4.63%,9.965MiB,31.29GiB,0.03%,1.4MB,3.46MB,0B,106kB,1
2025-06-27T13:50:33Z,1.84%,10.32MiB,31.29GiB,0.03%,1.6MB,3.78MB,0B,115kB,1
2025-06-27T13:50:46Z,2.08%,10.32MiB,31.29GiB,0.03%,1.61MB,3.88MB,0B,115kB,1
2025-06-27T13:50:58Z,2.74%,10.78MiB,31.29GiB,0.03%,1.72MB,4.11MB,0B,119kB,1
2025-06-27T13:51:10Z,2.10%,10.54MiB,31.29GiB,0.03%,1.72MB,4.22MB,0B,127kB,1
2025-06-27T13:51:23Z,2.30%,10.79MiB,31.29GiB,0.03%,1.72MB,4.33MB,0B,131kB,1
2025-06-27T13:51:36Z,1.99%,10.79MiB,31.29GiB,0.03%,1.87MB,4.57MB,0B,139kB,1
2025-06-27T13:51:48Z,1.90%,11.45MiB,31.29GiB,0.04%,2.21MB,5.06MB,0B,139kB,1
2025-06-27T13:52:00Z,2.11%,11.68MiB,31.29GiB,0.04%,2.21MB,5.16MB,0B,143kB,1
2025-06-27T13:52:13Z,2.43%,11.55MiB,31.29GiB,0.04%,2.29MB,5.33MB,0B,147kB,1
2025-06-27T13:52:26Z,2.14%,11.82MiB,31.29GiB,0.04%,2.29MB,5.44MB,0B,156kB,1
2025-06-27T13:52:38Z,2.54%,11.57MiB,31.29GiB,0.04%,2.29MB,5.55MB,0B,156kB,1
2025-06-27T13:52:50Z,2.28%,7.461MiB,31.29GiB,0.02%,2.33MB,5.68MB,0B,160kB,1
2025-06-27T13:53:03Z,3.17%,7.395MiB,31.29GiB,0.02%,2.5MB,5.96MB,0B,528kB,1
2025-06-27T13:53:16Z,2.45%,7.496MiB,31.29GiB,0.02%,2.55MB,6.12MB,0B,541kB,1
2025-06-27T13:53:28Z,2.16%,7.496MiB,31.29GiB,0.02%,2.56MB,6.22MB,0B,549kB,1
2025-06-27T13:53:40Z,2.67%,7.559MiB,31.29GiB,0.02%,2.59MB,6.36MB,0B,549kB,1
2025-06-27T13:53:53Z,3.63%,7.555MiB,31.29GiB,0.02%,2.59MB,6.48MB,0B,553kB,1
2025-06-27T13:54:06Z,6.13%,8.461MiB,31.29GiB,0.03%,2.81MB,6.81MB,0B,557kB,1
2025-06-27T13:54:18Z,2.57%,8.301MiB,31.29GiB,0.03%,3.01MB,7.11MB,0B,565kB,1
2025-06-27T13:54:30Z,2.00%,8.34MiB,31.29GiB,0.03%,3.03MB,7.23MB,0B,565kB,1
2025-06-27T13:54:43Z,2.27%,8.492MiB,31.29GiB,0.03%,3.12MB,7.43MB,0B,565kB,1
2025-06-27T13:54:56Z,2.36%,8.508MiB,31.29GiB,0.03%,3.13MB,7.54MB,0B,573kB,1
2025-06-27T13:55:08Z,2.30%,8.762MiB,31.29GiB,0.03%,3.13MB,7.65MB,0B,573kB,1
2025-06-27T13:55:20Z,2.31%,8.68MiB,31.29GiB,0.03%,3.23MB,7.85MB,0B,586kB,1
2025-06-27T13:55:33Z,2.36%,8.914MiB,31.29GiB,0.03%,3.38MB,8.08MB,0B,586kB,1
2025-06-27T13:55:46Z,2.06%,8.93MiB,31.29GiB,0.03%,3.39MB,8.18MB,0B,586kB,1
2025-06-27T13:55:58Z,2.20%,9.188MiB,31.29GiB,0.03%,3.4MB,8.3MB,0B,590kB,1
2025-06-27T13:56:10Z,2.32%,9.207MiB,31.29GiB,0.03%,3.42MB,8.41MB,0B,590kB,1
2025-06-27T13:56:23Z,2.46%,8.984MiB,31.29GiB,0.03%,3.43MB,8.52MB,0B,598kB,1
2025-06-27T13:56:35Z,5.11%,9.84MiB,31.29GiB,0.03%,3.52MB,8.71MB,0B,598kB,1
2025-06-27T13:56:48Z,4.70%,9.477MiB,31.29GiB,0.03%,3.72MB,9.01MB,0B,598kB,1
2025-06-27T13:57:00Z,1.98%,9.734MiB,31.29GiB,0.03%,3.73MB,9.13MB,0B,606kB,1
2025-06-27T13:57:13Z,2.35%,9.777MiB,31.29GiB,0.03%,3.75MB,9.25MB,0B,606kB,1
2025-06-27T13:57:26Z,2.43%,9.566MiB,31.29GiB,0.03%,3.78MB,9.38MB,0B,614kB,1
2025-06-27T13:57:38Z,2.56%,9.57MiB,31.29GiB,0.03%,3.78MB,9.48MB,0B,618kB,1
2025-06-27T13:57:50Z,5.58%,10.14MiB,31.29GiB,0.03%,3.86MB,9.66MB,0B,627kB,1
2025-06-27T13:58:03Z,7.93%,10.22MiB,31.29GiB,0.03%,4.02MB,9.91MB,0B,627kB,1
2025-06-27T13:58:16Z,2.54%,10.02MiB,31.29GiB,0.03%,4.05MB,10MB,0B,627kB,1
2025-06-27T13:58:28Z,2.69%,10.07MiB,31.29GiB,0.03%,4.08MB,10.2MB,0B,631kB,1
2025-06-27T13:58:40Z,2.78%,10.11MiB,31.29GiB,0.03%,4.11MB,10.3MB,0B,631kB,1
2025-06-27T13:58:53Z,3.94%,10.11MiB,31.29GiB,0.03%,4.11MB,10.4MB,0B,639kB,1
2025-06-27T13:59:06Z,3.49%,10.18MiB,31.29GiB,0.03%,4.16MB,10.5MB,0B,639kB,1
2025-06-27T13:59:18Z,3.33%,10.43MiB,31.29GiB,0.03%,4.31MB,10.8MB,0B,639kB,1
2025-06-27T13:59:30Z,2.13%,10.46MiB,31.29GiB,0.03%,4.32MB,10.9MB,0B,647kB,1
2025-06-27T13:59:43Z,2.60%,10.75MiB,31.29GiB,0.03%,4.36MB,11MB,0B,647kB,1
2025-06-27T13:59:56Z,2.64%,10.53MiB,31.29GiB,0.03%,4.38MB,11.1MB,0B,659kB,1
2025-06-27T14:00:08Z,1.87%,10.53MiB,31.29GiB,0.03%,4.38MB,11.3MB,0B,659kB,1
2025-06-27T14:00:20Z,6.63%,10.76MiB,31.29GiB,0.03%,4.51MB,11.5MB,0B,659kB,1
2025-06-27T14:00:33Z,2.91%,10.89MiB,31.29GiB,0.03%,4.59MB,11.6MB,0B,668kB,1
2025-06-27T14:00:46Z,2.77%,6.594MiB,31.29GiB,0.02%,4.6MB,11.8MB,0B,668kB,1
2025-06-27T14:00:58Z,2.81%,6.711MiB,31.29GiB,0.02%,4.62MB,11.9MB,0B,1MB,1
2025-06-27T14:01:10Z,2.10%,6.777MiB,31.29GiB,0.02%,4.65MB,12.1MB,0B,1MB,1
2025-06-27T14:01:23Z,2.06%,6.785MiB,31.29GiB,0.02%,4.66MB,12.2MB,0B,1.04MB,1
2025-06-27T14:01:36Z,3.03%,6.836MiB,31.29GiB,0.02%,4.7MB,12.3MB,0B,1.06MB,1
2025-06-27T14:01:48Z,1.90%,6.922MiB,31.29GiB,0.02%,4.76MB,12.5MB,0B,1.07MB,1
2025-06-27T14:02:00Z,1.95%,7.191MiB,31.29GiB,0.02%,4.78MB,12.6MB,0B,1.08MB,1
2025-06-27T14:02:13Z,6.37%,6.957MiB,31.29GiB,0.02%,4.79MB,12.7MB,0B,1.08MB,1
2025-06-27T14:02:26Z,2.41%,6.992MiB,31.29GiB,0.02%,4.82MB,12.8MB,0B,1.09MB,1
2025-06-27T14:02:38Z,2.09%,7.004MiB,31.29GiB,0.02%,4.83MB,13MB,0B,1.11MB,1
2025-06-27T14:02:50Z,3.80%,7.082MiB,31.29GiB,0.02%,4.88MB,13.1MB,0B,1.12MB,1
2025-06-27T14:03:03Z,2.43%,7.188MiB,31.29GiB,0.02%,4.95MB,13.3MB,0B,1.13MB,1
2025-06-27T14:03:16Z,3.04%,7.203MiB,31.29GiB,0.02%,4.96MB,13.4MB,0B,1.13MB,1
2025-06-27T14:03:28Z,2.65%,7.223MiB,31.29GiB,0.02%,4.98MB,13.5MB,0B,1.15MB,1
